	Chromosome	Position	113B_T1_vs_113B_PBMC.tumour
1_1188877	1	1188877	-0.688011629376817
1_1194632	1	1194632	-0.436354613535174
1_1196705	1	1196705	-0.520257726976131
1_1197558	1	1197558	-0.791704372626126
1_1197586	1	1197586	-0.793032515450318
1_1197745	1	1197745	-1.03954446537145
1_1203822	1	1203822	-1.01483399124018
1_1203836	1	1203836	-1.03068990760282
1_1203871	1	1203871	-1.1636545517516
1_1204015	1	1204015	-1.17560955558869
1_1204185	1	1204185	-1.20439138487597
1_1206396	1	1206396	-0.679200391939992
1_1211585	1	1211585	-0.888153677958463
1_1211644	1	1211644	-0.971463734173013
1_1212898	1	1212898	-0.496194022085662
1_1213249	1	1213249	-0.665761256622015
1_1213734	1	1213734	-1.0923127439179
1_1214100	1	1214100	-0.910608528786159
1_1217629	1	1217629	-0.598980718662312
1_1218703	1	1218703	-0.711603394740855
1_1218967	1	1218967	-0.85381214551874
1_1228651	1	1228651	-0.763534761844606
1_1228685	1	1228685	-0.546952593641552
1_1232416	1	1232416	-0.554223646617656
1_1232800	1	1232800	-0.906923481978303
1_1242506	1	1242506	-0.965998973696202
1_1242516	1	1242516	-0.890207336726437
1_1242601	1	1242601	-1.01044950231512
1_1242864	1	1242864	-0.618780627553977
1_1242871	1	1242871	-0.759445390855558
1_1242875	1	1242875	-0.744178634202247
1_1242886	1	1242886	-0.593396740737755
1_1243468	1	1243468	-1.01723362712339
1_1244420	1	1244420	-1.0983008137575
1_1246651	1	1246651	-1.21224960952854
1_1255392	1	1255392	-0.650841836786276
1_1262318	1	1262318	-0.715706236753991
1_1266173	1	1266173	-1.0119509590427
1_1266225	1	1266225	-0.692578569059098
1_1284021	1	1284021	-0.99104410314253
1_1285442	1	1285442	-0.851510361659696
1_1285529	1	1285529	-0.884259761853971
1_1285594	1	1285594	-0.982823596337561
1_1286150	1	1286150	-0.664647636311306
1_1286952	1	1286952	-0.662854354488256
1_1287578	1	1287578	-0.867561049707529
1_1287983	1	1287983	-0.977369166245453
1_1288005	1	1288005	-0.851838284161594
1_1290683	1	1290683	-0.978308115215068
1_1290687	1	1290687	-1.04315925956504
1_1291289	1	1291289	-0.822941209462925
1_1291310	1	1291310	-0.784724088303057
1_1291396	1	1291396	-0.950402118645184
1_1294498	1	1294498	-0.981620849255904
1_1296589	1	1296589	-0.89611196314423
1_1309258	1	1309258	-0.56203256982842
1_1310642	1	1310642	-0.57170646643006
1_1310993	1	1310993	-0.480916835343964
1_1311058	1	1311058	-0.328435315417697
1_1311467	1	1311467	-0.78490678887202
1_1311527	1	1311527	-0.649794508216949
1_1311620	1	1311620	-0.207789961337836
1_1312114	1	1312114	-0.924184597908873
1_1313527	1	1313527	-0.594258308419908
1_1313807	1	1313807	-0.733303996978249
1_1315577	1	1315577	-0.612180216417171
1_1319056	1	1319056	-0.582670334144697
1_1319063	1	1319063	-0.653450689289034
1_1327457	1	1327457	-0.912522234974095
1_1327560	1	1327560	-0.621020703911048
1_1327577	1	1327577	-0.538828474669911
1_1327705	1	1327705	-1.16565111059699
1_1331666	1	1331666	-1.28538636635799
1_1332116	1	1332116	-0.717889657588286
1_1332124	1	1332124	-0.666815472994017
1_1332226	1	1332226	-1.03361548689417
1_1332271	1	1332271	-1.1203271200875
1_1332677	1	1332677	-0.785908081016937
1_1333466	1	1333466	-0.56658334997706
1_1334123	1	1334123	-0.611715505496455
1_1334174	1	1334174	-0.569085237210341
1_1334422	1	1334422	-0.935295226254976
1_1336134	1	1336134	-0.798399025200134
1_1336256	1	1336256	-1.23280184934591
1_1336473	1	1336473	-0.650841836786276
1_1338022	1	1338022	-0.833445972299335
1_1339592	1	1339592	-1.20605699411338
1_1340503	1	1340503	-0.543018191909775
1_1342153	1	1342153	-0.937463062937686
1_1353897	1	1353897	-1.03361548689417
1_1354066	1	1354066	-0.640105452048515
1_1355028	1	1355028	-0.897934698751048
1_1387355	1	1387355	-0.681042074561975
1_1393431	1	1393431	-0.85381214551874
1_1399095	1	1399095	-0.705289620808652
1_1405744	1	1405744	-0.730380601771483
1_1405858	1	1405858	-0.951929588391777
1_1419135	1	1419135	-0.54971991234341
1_1419136	1	1419136	-0.438503080113751
1_1419158	1	1419158	-0.672868143116275
1_1419399	1	1419399	-0.666068311010934
1_1419540	1	1419540	-0.982823596337561
1_1420066	1	1420066	-1.21052492905907
1_1420173	1	1420173	-1.03786495989552
1_1420283	1	1420283	-1.13074373603283
1_1420931	1	1420931	-0.676720468611881
1_1426164	1	1426164	-1.00297016944934
1_1426253	1	1426253	-1.09986301752778
1_1426316	1	1426316	-1.04171728539113
1_1426353	1	1426353	-0.852393914840863
1_1434873	1	1434873	-0.930356176443425
1_1434897	1	1434897	-0.897934698751048
1_1434899	1	1434899	-0.857292714253702
1_1436888	1	1436888	-1.1203271200875
1_1436889	1	1436889	-1.09724350697445
1_1437061	1	1437061	-1.24107927954811
1_1437288	1	1437288	-0.292279802876791
1_1439581	1	1439581	-1.17477490410987
1_1439682	1	1439682	-1.04503899278326
1_1439715	1	1439715	-1.16135438834755
1_1452367	1	1452367	-0.724398443756357
1_1455506	1	1455506	-0.735036964202704
1_1455812	1	1455812	-0.941003420642934
1_1455828	1	1455828	-0.950402118645184
1_1457141	1	1457141	-0.987060589224032
1_1457142	1	1457142	-1.01014420233707
1_1460831	1	1460831	-0.949055692937667
1_1460864	1	1460864	-1.15780182550616
1_1468408	1	1468408	-0.79382629541031
1_1468434	1	1468434	-0.70021863126123
1_1477343	1	1477343	-0.9276820421451
1_1478568	1	1478568	-0.997470372301963
1_1485152	1	1485152	-0.678322573208383
1_1485808	1	1485808	-0.717362453109227
1_1487887	1	1487887	-0.884514182988727
1_1489782	1	1489782	-0.919187247979645
1_1490287	1	1490287	-0.79455695890574
1_1490346	1	1490346	-0.766690165472796
1_1490373	1	1490373	-0.620400723222139
1_1495604	1	1495604	-0.965817171031871
1_1495695	1	1495695	-1.04477608708032
1_1495725	1	1495725	-0.885861866450473
1_1495783	1	1495783	-0.84380948489008
1_1495793	1	1495793	-0.894767419672365
1_1512312	1	1512312	-0.617826779558313
1_1523889	1	1523889	-1.10121829713979
1_1533961	1	1533961	-1.40857208871857
1_1535427	1	1535427	-0.971183680781687
1_1535428	1	1535428	-1.02546793374605
1_1544894	1	1544894	-0.655103863640436
1_1599902	1	1599902	-0.865397763890758
1_1615755	1	1615755	-0.857292714253702
1_1615856	1	1615856	-1.05826615195524
1_1615869	1	1615869	-0.974786277272143
1_1616572	1	1616572	-1.32341898546501
1_1623412	1	1623412	-0.873889224784397
1_1623829	1	1623829	-1.33791855516012
1_1623847	1	1623847	-1.28259854898637
1_1625566	1	1625566	-1.30795412326327
1_1627150	1	1627150	-0.806218529659433
1_1627322	1	1627322	-1.15091543992092
1_1629261	1	1629261	-1.45422785664093
1_1630322	1	1630322	-0.659193206219198
1_1632438	1	1632438	-0.663948825427753
1_1636993	1	1636993	-0.892916623984424
1_1637828	1	1637828	-0.806218529659433
1_1665856	1	1665856	-0.91387624262007
1_1669706	1	1669706	-0.417308857844628
1_1704310	1	1704310	-0.757757040702788
1_1719368	1	1719368	-0.9013173381457
1_1732521	1	1732521	-0.479869506774636
1_1752910	1	1752910	-1.25783064383743
1_1754628	1	1754628	-0.654305692089847
1_1754642	1	1754642	-0.716177936951389
1_1757280	1	1757280	-0.871648007230772
1_1759105	1	1759105	-0.763170536889152
1_1762005	1	1762005	-0.542560120770544
1_1815818	1	1815818	-1.08556170192682
1_1891375	1	1891375	-0.545632954820167
1_1915326	1	1915326	-0.833445972299335
1_1916540	1	1916540	-1.16472123944595
1_1916792	1	1916792	-1.05804284183315
1_1918513	1	1918513	-1.1203271200875
1_1923136	1	1923136	-0.716430178413853
1_1923140	1	1923140	-0.892058132414379
1_1923904	1	1923904	-0.924184597908873
1_1924451	1	1924451	-1.06785970019336
1_1926326	1	1926326	-0.781525206635738
1_1926457	1	1926457	-0.723436967518912
1_1926661	1	1926661	-0.958055691188619
1_1926722	1	1926722	-0.892916623984424
1_1942086	1	1942086	-0.772403816667189
1_1944420	1	1944420	-0.795704916030871
1_1956754	1	1956754	-1.08470321035677
1_1964940	1	1964940	-0.748358342700538
1_1966450	1	1966450	-0.803470014747556
1_1966521	1	1966521	-0.938488797101683
1_1968644	1	1968644	-0.621225356020178
1_1968772	1	1968772	-0.74347281469654
1_1970690	1	1970690	-1.01599046027276
1_1970786	1	1970786	-0.542153785028979
1_1972962	1	1972962	-1.03209993707576
1_1974028	1	1974028	-0.656380020327706
1_1985090	1	1985090	-0.785142928497867
1_2023748	1	2023748	-1.19955381123807
1_2024324	1	2024324	-0.910873754458546
1_2024503	1	2024503	-0.862258967147052
1_2024579	1	2024579	-0.67584584291617
1_2025598	1	2025598	-0.670014146061122
1_2025673	1	2025673	-1.04757077765218
1_2029235	1	2029235	-0.857292714253702
1_2029675	1	2029675	-0.941356979042177
1_2030027	1	2030027	-1.00586839550258
1_2056554	1	2056554	-1.33823215043163
1_2059575	1	2059575	-0.825879761622241
1_2074688	1	2074688	-0.621724904169521
1_2169339	1	2169339	-0.93477146693142
1_2169401	1	2169401	-0.994796238003637
1_2169539	1	2169539	-0.721777743597221
1_2169545	1	2169545	-0.598980718662312
1_2180521	1	2180521	-0.899558441230712
1_2181939	1	2181939	-0.875214622250965
1_2182126	1	2182126	-0.961629374068438
1_2182337	1	2182337	-0.924406910112239
1_2182380	1	2182380	-0.827773627333647
1_2182443	1	2182443	-0.601217166660966
1_2182461	1	2182461	-0.614591310516915
1_2182465	1	2182465	-0.636450744480654
1_2190570	1	2190570	-0.814223992361816
1_2198019	1	2198019	-0.818671420226395
1_2201209	1	2201209	-0.497181425478452
1_2229237	1	2229237	-0.893556258240474
1_2240778	1	2240778	-0.846762046761533
1_2303882	1	2303882	-1.33605581114293
1_2303939	1	2303939	-1.60575394725774
1_2304552	1	2304552	-1.1203271200875
1_2306103	1	2306103	-0.725189178246357
1_2321534	1	2321534	-1.10522022769729
1_2332683	1	2332683	-0.982823596337561
1_2332752	1	2332752	-1.10121829713979
1_2358704	1	2358704	-0.801504936067955
1_2379143	1	2379143	-0.38336152592129
1_2403103	1	2403103	-0.646395931755084
1_2405080	1	2405080	-0.672868143116275
1_2406784	1	2406784	-1.15685299611261
1_2406885	1	2406885	-0.975937210752321
1_2408773	1	2408773	-0.93477146693142
1_2412497	1	2412497	-0.763170536889152
1_2427689	1	2427689	-0.827773627333647
1_2430360	1	2430360	-0.806218529659433
1_2430393	1	2430393	-1.09686814726351
1_2489840	1	2489840	-0.804299626639818
1_2491211	1	2491211	-1.27683160576749
1_2494907	1	2494907	-0.729375239332965
1_2496979	1	2496979	-0.689169955445375
1_2499031	1	2499031	-0.946608545486738
1_2499660	1	2499660	-1.02546793374605
1_2502162	1	2502162	-0.910404050713265
1_2502203	1	2502203	-1.02365110067582
1_2502535	1	2502535	-0.774331265238304
1_2502732	1	2502732	-1.09686814726351
1_2504255	1	2504255	-0.619132977058938
1_2504662	1	2504662	-0.839145367543443
1_2504832	1	2504832	-0.734435966468169
1_2504866	1	2504866	-0.837927389386771
1_2520751	1	2520751	-0.516255796418635
1_2520882	1	2520882	-0.682921807780198
1_2521922	1	2521922	-1.06020612764993
1_2526571	1	2526571	-0.747283709473279
1_2529533	1	2529533	-0.914742986437602
1_2529549	1	2529549	-0.975937210752321
1_2529768	1	2529768	-0.887881034087125
1_2529825	1	2529825	-0.964207918170214
1_2530132	1	2530132	-0.836534154086905
1_2556673	1	2556673	-0.429655178195225
1_2559170	1	2559170	-1.00785239082908
1_2559173	1	2559173	-1.010702628913
1_2559459	1	2559459	-0.492295897474454
1_2559483	1	2559483	-0.599936620662424
1_2559621	1	2559621	-0.570988529097061
1_2559632	1	2559632	-0.681442878854285
1_2559902	1	2559902	-1.06688786112604
1_2588536	1	2588536	-0.615091811837074
1_2591576	1	2591576	-0.329274010358993
1_2591973	1	2591973	-0.39162914190489
1_2592689	1	2592689	-0.662854354488256
1_2593833	1	2593833	-0.877055969075132
1_2596033	1	2596033	-0.400435039280231
1_2596615	1	2596615	-0.775415707199294
1_2606261	1	2606261	-0.965604525288854
1_2609829	1	2609829	-0.862830897795132
1_2609830	1	2609830	-0.895620832912802
1_2644433	1	2644433	-0.641673521512681
1_2783654	1	2783654	-1.23768407072565
1_2785877	1	2785877	-1.04924402202601
1_2787490	1	2787490	-1.03543822250098
1_2789597	1	2789597	-0.950402118645184
1_2800342	1	2800342	-0.780251678489874
1_2800478	1	2800478	-0.755562827289876
1_2800484	1	2800484	-0.685924295941721
1_2800545	1	2800545	-0.652822200914517
1_2800790	1	2800790	-1.02721771569601
1_3021701	1	3021701	-1.14632232862044
1_3021858	1	3021858	-1.20486063029916
1_3021860	1	3021860	-1.21496399422557
1_3022005	1	3022005	-1.03786495989552
1_3022574	1	3022574	-0.659485931195527
1_3186480	1	3186480	-1.06020612764993
1_3385157	1	3385157	-0.789502624711738
1_3386696	1	3386696	-1.33392259318678
1_3396544	1	3396544	-0.541464818902758
1_3405509	1	3405509	-0.772403816667189
1_3411623	1	3411623	-0.786903386362304
1_3411715	1	3411715	-0.446827944764683
1_3411881	1	3411881	-0.861592851687328
1_3412576	1	3412576	-0.884514182988727
1_3412736	1	3412736	-0.487536094275725
1_3425743	1	3425743	-0.9276820421451
1_3426071	1	3426071	-0.779986988086253
1_3426095	1	3426095	-0.676025026303458
1_3430956	1	3430956	-1.16472123944595
1_3431048	1	3431048	-1.10935600226649
1_3432131	1	3432131	-1.10217977337724
1_3463266	1	3463266	-0.785142928497867
1_3463493	1	3463493	-0.867040690805265
1_3469503	1	3469503	-0.72604818097545
1_3471739	1	3471739	-0.523086289587903
1_3473444	1	3473444	-1.03691111189986
1_3477892	1	3477892	-0.664647636311306
1_3478424	1	3478424	-1.04015677140351
1_3478612	1	3478612	-1.1203271200875
1_3479532	1	3479532	-0.816934976637561
1_3480485	1	3480485	-0.772403816667189
1_3492645	1	3492645	-1.30795412326327
1_3492682	1	3492682	-1.03666919104059
1_3492708	1	3492708	-0.798399025200134
1_3493846	1	3493846	-0.814700837529235
1_3494017	1	3494017	-0.742960038774707
1_3494371	1	3494371	-0.619898129578008
1_3495901	1	3495901	-0.955267873817
1_3495957	1	3495957	-0.970301676082889
1_3496003	1	3496003	-1.39118103038059
1_3497541	1	3497541	-0.787751781000625
1_3499682	1	3499682	-0.731761832169843
1_3499709	1	3499709	-0.572839324785003
1_3499885	1	3499885	-0.640105452048515
1_3501081	1	3501081	-1.06483200749579
1_3501198	1	3501198	-0.920718094395336
1_3505283	1	3505283	-0.811376879198344
1_3505549	1	3505549	-0.888153677958463
1_3508619	1	3508619	-1.4241078682646
1_3510787	1	3510787	-1.35479237372452
1_3514574	1	3514574	-0.563933771563111
1_3514671	1	3514671	-0.950402118645184
1_3515498	1	3515498	-0.682747052157564
1_3524189	1	3524189	-0.808383113772756
1_3547098	1	3547098	-1.27380160074921
1_3595444	1	3595444	-0.738079555926322
1_3602546	1	3602546	-0.349352633756391
1_3631426	1	3631426	-1.40043503928023
1_3722203	1	3722203	-0.857292714253702
1_3727147	1	3727147	-0.829547723770798
1_3752608	1	3752608	-1.07393421460304
1_3752637	1	3752637	-1.18086866202255
1_3752792	1	3752792	-0.863169280590371
1_3755518	1	3755518	-0.469911557877724
1_3756820	1	3756820	-0.590956945329657
1_3761290	1	3761290	-0.943449358003417
1_3761369	1	3761369	-1.30003314232239
1_3762639	1	3762639	-0.943449358003417
1_3763322	1	3763322	-1.16472123944595
1_3763538	1	3763538	-1.13468241306457
1_3763769	1	3763769	-0.598980718662312
1_3767350	1	3767350	-0.667814915389989
1_3769851	1	3769851	-0.925311137682353
1_3771308	1	3771308	-1.44225521497486
1_3782760	1	3782760	-0.368254633531082
1_3786945	1	3786945	-0.640583931420837
1_3787134	1	3787134	-0.724918427557585
1_3795946	1	3795946	-0.615652408323976
1_3815395	1	3815395	-0.540041106575813
1_3815444	1	3815444	-0.622827460616679
1_3823504	1	3823504	-0.649436386075135
1_3829360	1	3829360	-1.27233021353255
1_3829920	1	3829920	-1.04522566484678
1_3833933	1	3833933	-0.709465296779846
1_3835070	1	3835070	-0.475422078910058
1_3836504	1	3836504	-0.968324026642446
1_3839111	1	3839111	-0.529439785409235
1_3839662	1	3839662	-0.716430178413853
1_3839755	1	3839755	-0.852131009137923
1_3847485	1	3847485	-1.03507983346899
1_3851795	1	3851795	-0.39041628345524
1_3883554	1	3883554	-0.838914184938848
1_3883678	1	3883678	-0.518291106007398
1_3889984	1	3889984	-0.609911572731394
1_3890824	1	3890824	-0.579758738724793
1_3890943	1	3890943	-0.800446853848992
1_3891029	1	3891029	-0.779290202252429
1_3891765	1	3891765	-1.09523613912467
1_4711993	1	4711993	-1.30475169122492
1_5863309	1	5863309	-0.731052716873734
1_5864423	1	5864423	-0.686673942641305
1_5864440	1	5864440	-0.528791965442854
1_5866447	1	5866447	-1.49430196274445
1_5875036	1	5875036	-1.04185306206441
1_5875098	1	5875098	-1.28382585237038
1_5877102	1	5877102	-0.727315927138651
1_5880206	1	5880206	-0.974896680565932
1_5890953	1	5890953	-0.968324026642446
1_5904731	1	5904731	-0.98497526719261
1_5905324	1	5905324	-0.686673942641305
1_5905764	1	5905764	-0.872399606643911
1_5909185	1	5909185	-0.863551704725385
1_5948118	1	5948118	-0.999472725213111
1_5978411	1	5978411	-0.932700116911725
1_6073370	1	6073370	-0.685390063370947
1_6082248	1	6082248	-0.95986244789425
1_6082379	1	6082379	-0.815472538559075
1_6085742	1	6085742	-1.34271954142394
1_6085837	1	6085837	-1.06374359172113
1_6085846	1	6085846	-1.01341191617098
1_6085878	1	6085878	-0.887349948109882
1_6085974	1	6085974	-0.755562827289876
1_6086245	1	6086245	-1.22724232400401
1_6088993	1	6088993	-0.785908081016937
1_6098502	1	6098502	-0.857292714253702
1_6099890	1	6099890	-0.715706236753991
1_6099973	1	6099973	-0.523291787065765
1_6109928	1	6109928	-0.936615166915108
1_6124032	1	6124032	-0.192839619871864
1_6125548	1	6125548	-1.30898868411139
1_6130155	1	6130155	-0.690022864155342
1_6130255	1	6130255	-0.760784733400356
1_6136809	1	6136809	-0.766690165472796
1_6149303	1	6149303	-0.91500821210999
1_6152418	1	6152418	-1.00484990266756
1_6152469	1	6152469	-1.05578686789279
1_6207418	1	6207418	-0.925070828688562
1_6208898	1	6208898	-0.696828042060456
1_6208934	1	6208934	-0.912218924757296
1_6208961	1	6208961	-0.924776310969689
1_6209280	1	6209280	-0.654663547738684
1_6210409	1	6210409	-0.525168852260451
1_6211065	1	6211065	-0.857292714253702
1_6212018	1	6212018	-0.721231164677674
1_6212030	1	6212030	-0.575521745838323
1_6213147	1	6213147	-0.965604525288854
1_6218354	1	6218354	-1.07452343047437
1_6225119	1	6225119	-0.93477146693142
1_6235898	1	6235898	-1.72123116467767
1_6244394	1	6244394	-0.726663271601219
1_6245232	1	6245232	-0.887881034087125
1_6250433	1	6250433	-0.542153785028979
1_6250614	1	6250614	0.0495978813548162
1_6254623	1	6254623	-0.650841836786276
1_6294955	1	6294955	-0.867561049707529
1_6339467	1	6339467	-1.03543822250098
1_6349836	1	6349836	-0.784724088303057
1_6425205	1	6425205	-0.676025026303458
1_6440652	1	6440652	-0.941729816630733
1_6441049	1	6441049	-0.89589555347745
1_6445735	1	6445735	-1.40412008608809
1_6447451	1	6447451	-0.968324026642446
1_6448769	1	6448769	-0.929721187418699
1_6448885	1	6448885	-0.745478710924351
1_6449070	1	6449070	-0.804299626639818
1_6452055	1	6452055	-0.977722724644696
1_6454481	1	6454481	-1.07302140530914
1_6461443	1	6461443	-0.601453809824112
1_6462158	1	6462158	-0.740479049270952
1_6462984	1	6462984	-0.643424365223793
1_6463050	1	6463050	-0.759995512898787
1_6464643	1	6464643	-0.682921807780198
1_6468242	1	6468242	-0.674915971765133
1_6468255	1	6468255	-0.705289620808652
1_6468378	1	6468378	-0.757757040702788
1_6468505	1	6468505	-0.712046986983961
1_6469128	1	6469128	-0.741815496833766
1_6469143	1	6469143	-0.643424365223793
1_6473275	1	6473275	-0.973485731758225
1_6473333	1	6473333	-0.849025098270102
1_6474072	1	6474072	-0.4483813177717
1_6474109	1	6474109	-0.408307883051521
1_6474583	1	6474583	-0.942328818109502
1_6475089	1	6475089	-0.66513249433667
1_6475992	1	6475992	-0.785908081016937
1_6476016	1	6476016	-0.765662238788134
1_6506029	1	6506029	-0.892058132414379
1_6506064	1	6506064	-0.851510361659696
1_6506148	1	6506148	-0.622827460616679
1_6550472	1	6550472	-1.15375012162495
1_6554475	1	6554475	-1.06483200749579
1_6555384	1	6555384	-0.599494956786055
1_6555409	1	6555409	-0.588106081438313
1_6571046	1	6571046	-0.84730862568108
1_6571204	1	6571204	-0.804825294359567
1_6574642	1	6574642	-0.666609152644592
1_6575249	1	6575249	-1.02079144653658
1_6578719	1	6578719	-0.866570527841713
1_6579332	1	6579332	-0.954317168648567
1_6579376	1	6579376	-0.923290273027943
1_6581000	1	6581000	-1.32026469059625
1_6593421	1	6593421	-0.633139835052817
1_6633012	1	6633012	-0.389934179844776
1_6633037	1	6633037	-0.508892408005149
1_6634039	1	6634039	-0.806666641183734
1_6634059	1	6634059	-0.63052185240668
1_6635690	1	6635690	-0.573377945303071
1_6636172	1	6636172	-0.98467202072993
1_6638330	1	6638330	-0.936364285244901
1_6644575	1	6644575	-0.584274219847286
1_6645814	1	6645814	-1.06222416552393
1_6645884	1	6645884	-0.735986418031569
1_6651086	1	6651086	-1.30619366539883
1_6825174	1	6825174	-0.479408213392324
1_7370160	1	7370160	-0.773876706066065
1_7370205	1	7370205	-0.765232161264934
1_7621940	1	7621940	-0.984265570511467
1_7663474	1	7663474	-0.842793144558587
1_7663528	1	7663528	-0.963226159002767
1_7664502	1	7664502	-1.28079179228074
1_7664637	1	7664637	-0.9276820421451
1_7664737	1	7664737	-1.23816361038135
1_7670988	1	7670988	-1.03970865987921
1_7732460	1	7732460	-0.667814915389989
1_7737485	1	7737485	-1.17922080914106
1_7738425	1	7738425	-0.51518673742871
1_7778168	1	7778168	-0.755330303308248
1_7809988	1	7809988	-0.998648563499243
1_7810546	1	7810546	-1.05892657542335
1_7819317	1	7819317	-0.747283709473279
1_7826538	1	7826538	-1.3114686074395
1_7826690	1	7826690	-1.29617695548691
1_7827439	1	7827439	-1.21343652447898
1_7827501	1	7827501	-0.880193116363781
1_7827519	1	7827519	-0.751459802241578
1_7827709	1	7827709	-0.88282780636084
1_7829881	1	7829881	-1.08556170192682
1_7829887	1	7829887	-1.1203271200875
1_7829993	1	7829993	-2.00667033829193
1_7830004	1	7830004	-1.70528962080865
1_7830049	1	7830049	-1.14556441158652
1_7842655	1	7842655	-0.936364285244901
1_7842676	1	7842676	-0.956097724309187
1_7846697	1	7846697	-0.789681808099025
1_7852915	1	7852915	-0.78870562899629
1_7852944	1	7852944	-0.724398443756357
1_7935030	1	7935030	-0.949215203694741
1_7939911	1	7939911	-0.52723673848294
1_8013850	1	8013850	-0.735409609184988
1_8013869	1	8013869	-0.838914184938848
1_8013883	1	8013883	-0.953865973948755
1_8014274	1	8014274	-0.936364285244901
1_8330435	1	8330435	-0.705289620808652
1_8330720	1	8330720	-1.03053044973685
1_8330828	1	8330828	-0.705289620808652
1_8335614	1	8335614	-0.6961874137014
1_8339614	1	8339614	-0.777439406564488
1_8343775	1	8343775	-0.840219200894761
1_8343908	1	8343908	-1.3208601074602
1_8355558	1	8355558	-0.728009697308736
1_8358650	1	8358650	-0.785908081016937
1_8358860	1	8358860	-0.634900292917254
1_8359794	1	8359794	-0.80569151776649
1_8360375	1	8360375	-0.634900292917254
