	Chromosome	Position	67RT_CM-_vs_67_PBMC.tumour
1_1180168	1	1180168	0.670113473543114
1_1180802	1	1180802	0.854538044680541
1_1185041	1	1185041	0.575342934781711
1_1185051	1	1185051	0.515672225887102
1_1185123	1	1185123	0.821422796818079
1_1188877	1	1188877	0.387899348914485
1_1194632	1	1194632	0.79939649048808
1_1196705	1	1196705	0.779076506108485
1_1197558	1	1197558	0.989633061959755
1_1197586	1	1197586	0.983344058797261
1_1197745	1	1197745	0.748462221684978
1_1203822	1	1203822	0.696975425893591
1_1203836	1	1203836	0.785831762906278
1_1203871	1	1203871	0.752090775709724
1_1204015	1	1204015	0.967238177429903
1_1204185	1	1204185	0.896358220375168
1_1206396	1	1206396	0.6821772381925
1_1211585	1	1211585	0.666394358973086
1_1211644	1	1211644	0.743320566081992
1_1212898	1	1212898	0.625367090713032
1_1213249	1	1213249	0.675407773212627
1_1213734	1	1213734	0.638623187415298
1_1214100	1	1214100	0.738514248341058
1_1217629	1	1217629	0.794140765036585
1_1218703	1	1218703	0.642620036443015
1_1218967	1	1218967	0.864173341492843
1_1228651	1	1228651	0.857240565060365
1_1228685	1	1228685	0.787423848822004
1_1232416	1	1232416	0.443394461506189
1_1232800	1	1232800	0.779496933050375
1_1242506	1	1242506	0.844959067868524
1_1242516	1	1242516	0.897446636149832
1_1242601	1	1242601	1.05203929047528
1_1242864	1	1242864	0.611988060911832
1_1242871	1	1242871	0.685256959803656
1_1242875	1	1242875	0.734405466522513
1_1242886	1	1242886	0.851760960009968
1_1243468	1	1243468	0.866033683518371
1_1244420	1	1244420	0.581550858420542
1_1246651	1	1246651	0.723787500464088
1_1255392	1	1255392	0.683306273253998
1_1262318	1	1262318	0.80696403521765
1_1266173	1	1266173	0.561491069780308
1_1266225	1	1266225	0.421353198691438
1_1284021	1	1284021	0.873702049216766
1_1285442	1	1285442	0.399465883599445
1_1285529	1	1285529	0.291709703243562
1_1285594	1	1285594	0.494623116639785
1_1286150	1	1286150	0.79939649048808
1_1286952	1	1286952	0.291354927626162
1_1287578	1	1287578	0.479895132995258
1_1287983	1	1287983	0.887933165089738
1_1288005	1	1288005	0.934911461144561
1_1290683	1	1290683	0.830462688568447
1_1290687	1	1290687	0.805087602565936
1_1291289	1	1291289	0.734824489191997
1_1291310	1	1291310	0.710802567219092
1_1291396	1	1291396	0.842465212379966
1_1294498	1	1294498	0.931781043613002
1_1296589	1	1296589	0.499397499475453
1_1309258	1	1309258	0.90678002586168
1_1310642	1	1310642	0.912854540271364
1_1310993	1	1310993	0.621858304935893
1_1311058	1	1311058	0.468069697598468
1_1311467	1	1311467	0.802936848193329
1_1311527	1	1311527	0.78119189511049
1_1311620	1	1311620	0.709759278003404
1_1312114	1	1312114	0.89176050863674
1_1313527	1	1313527	1.33091973224778
1_1313807	1	1313807	0.670113473543114
1_1315577	1	1315577	0.788425372667077
1_1319056	1	1319056	0.901211303598132
1_1319063	1	1319063	0.877621657793583
1_1327457	1	1327457	0.721393978486807
1_1327560	1	1327560	0.837816708801901
1_1327577	1	1327577	0.878006325184447
1_1327705	1	1327705	0.860076228221971
1_1331666	1	1331666	0.602999277684577
1_1332116	1	1332116	0.754126683672763
1_1332124	1	1332124	0.732282294629543
1_1332226	1	1332226	0.491627666900367
1_1332271	1	1332271	0.543498265935915
1_1332677	1	1332677	0.605309438371778
1_1333466	1	1333466	1.00645725806854
1_1334123	1	1334123	1.08020559804985
1_1334174	1	1334174	0.718476495104513
1_1334422	1	1334422	0.538459025489866
1_1336134	1	1336134	0.246855467459302
1_1336256	1	1336256	0.485015204654066
1_1336473	1	1336473	0.401365416514926
1_1338022	1	1338022	0.529386048918893
1_1339592	1	1339592	0.96825480423604
1_1340503	1	1340503	1.07548704914732
1_1342153	1	1342153	0.665168098771006
1_1353897	1	1353897	0.722434508673196
1_1354066	1	1354066	0.887452667153276
1_1355028	1	1355028	0.88947853656765
1_1387355	1	1387355	0.895483594679457
1_1393431	1	1393431	0.656994167325306
1_1399095	1	1399095	1.00087622580524
1_1405744	1	1405744	0.616296100298035
1_1405858	1	1405858	1.03318026322396
1_1419135	1	1419135	0.979968736129901
1_1419136	1	1419136	0.978225598731988
1_1419158	1	1419158	0.963197389499657
1_1419399	1	1419399	0.648717577990412
1_1419540	1	1419540	0.791175983683112
1_1420066	1	1420066	1.15466176924956
1_1420173	1	1420173	0.782534273300711
1_1420283	1	1420283	0.697516876468867
1_1420931	1	1420931	0.572625628641058
1_1426164	1	1426164	0.826523668510945
1_1426253	1	1426253	0.949802041210969
1_1426316	1	1426316	0.924927372571939
1_1426353	1	1426353	1.04910678379267
1_1434873	1	1434873	0.696450188774514
1_1434897	1	1434897	0.76142864028906
1_1434899	1	1434899	0.707335937499312
1_1436888	1	1436888	0.857111988344368
1_1436889	1	1436889	0.855664710134826
1_1437061	1	1437061	1.046113719092
1_1437288	1	1437288	0.591801071079713
1_1439581	1	1439581	0.481875497123499
1_1439682	1	1439682	0.802443366046944
1_1439715	1	1439715	0.802443366046944
1_1452367	1	1452367	0.787423848822004
1_1455506	1	1455506	0.770680584987428
1_1455812	1	1455812	0.471070624402568
1_1455828	1	1455828	0.466937728108548
1_1457141	1	1457141	0.877621657793583
1_1457142	1	1457142	0.854154298158558
1_1460831	1	1460831	0.924927372571939
1_1460864	1	1460864	0.873702049216766
1_1468408	1	1468408	1.01031886380258
1_1468434	1	1468434	0.953216417003363
1_1477343	1	1477343	0.406054062308555
1_1478568	1	1478568	0.656333441396245
1_1485152	1	1485152	0.730549327405088
1_1485808	1	1485808	0.527591875026555
1_1487887	1	1487887	0.959692790732616
1_1489782	1	1489782	1.00834338075958
1_1490287	1	1490287	0.717485292701463
1_1490346	1	1490346	1.07100563205988
1_1490373	1	1490373	1.11606885992395
1_1495604	1	1495604	0.835993644151651
1_1495695	1	1495695	0.66568454590052
1_1495725	1	1495725	0.467720419049156
1_1495783	1	1495783	0.524389442988211
1_1495793	1	1495793	0.713423267378228
1_1512312	1	1512312	0.791660841708475
1_1523889	1	1523889	0.637439923013607
1_1533961	1	1533961	0.719178707355363
1_1535427	1	1535427	0.853668689402117
1_1535428	1	1535428	0.828419391718593
1_1544894	1	1544894	0.93250059227674
1_1599902	1	1599902	0.541598733020434
1_1615755	1	1615755	0.867211874715652
1_1615856	1	1615856	0.773919584472257
1_1615869	1	1615869	0.774964866512195
1_1616572	1	1616572	0.65106593625379
1_1623412	1	1623412	0.503940606961909
1_1623829	1	1623829	0.735102813691922
1_1623847	1	1623847	0.981070450609473
1_1625566	1	1625566	0.888401496546825
1_1627150	1	1627150	0.885399008385302
1_1627322	1	1627322	0.482409136870988
1_1629261	1	1629261	0.808734355067417
1_1630322	1	1630322	0.77578393326613
1_1632438	1	1632438	0.591801071079713
1_1636993	1	1636993	1.04830978807722
1_1637828	1	1637828	0.474761649889493
1_1665856	1	1665856	0.978225598731988
1_1669706	1	1669706	0.924927372571939
1_1704310	1	1704310	0.642340169316745
1_1719368	1	1719368	1.00021549987618
1_1732521	1	1732521	0.983821061625508
1_1752910	1	1752910	0.677834510607167
1_1754628	1	1754628	0.688487176749859
1_1754642	1	1754642	0.706503853438437
1_1757280	1	1757280	0.973836973052886
1_1759105	1	1759105	0.936332135844189
1_1762005	1	1762005	0.680690562192272
1_1815818	1	1815818	0.67740596610947
1_1891375	1	1891375	0.394412655873159
1_1915326	1	1915326	0.810157185325865
1_1916540	1	1916540	0.741481231476008
1_1916792	1	1916792	0.740502801434512
1_1918513	1	1918513	0.876672203964718
1_1923136	1	1923136	0.801352687453407
1_1923140	1	1923140	0.674383910921342
1_1923904	1	1923904	0.599351500669433
1_1924451	1	1924451	0.476569800093069
1_1926326	1	1926326	0.485106772363207
1_1926457	1	1926457	0.76656177690335
1_1926661	1	1926661	0.801779141799075
1_1926722	1	1926722	1.11561093418105
1_1942086	1	1942086	1.10326461383045
1_1944420	1	1944420	0.619635279276439
1_1956754	1	1956754	0.678287404988814
1_1964940	1	1964940	0.700221085397245
1_1966450	1	1966450	0.650488203465896
1_1966521	1	1966521	0.271577896870533
1_1968644	1	1968644	0.516287644491246
1_1968772	1	1968772	0.555170752593962
1_1970690	1	1970690	1.05268291977031
1_1970786	1	1970786	0.913612059344105
1_1972962	1	1972962	0.681656221559575
1_1974028	1	1974028	0.948010985684981
1_1985090	1	1985090	0.447962124149894
1_2023748	1	2023748	0.824763210646507
1_2024324	1	2024324	0.894230575349023
1_2024503	1	2024503	0.788292680550093
1_2024579	1	2024579	0.729797031239949
1_2025598	1	2025598	0.595221927092858
1_2025673	1	2025673	0.690462118934916
1_2029235	1	2029235	0.656438536646037
1_2029675	1	2029675	0.866375190216826
1_2030027	1	2030027	0.476723009357896
1_2056554	1	2056554	0.876672203964718
1_2059575	1	2059575	0.601037761351291
1_2074688	1	2074688	0.46142838433645
1_2169339	1	2169339	0.892866163339641
1_2169401	1	2169401	0.943305901886794
1_2169539	1	2169539	0.833134896652449
1_2169545	1	2169545	0.844757023887956
1_2180521	1	2180521	0.654073462278846
1_2181939	1	2181939	0.896244617867854
1_2182126	1	2182126	0.479127619522409
1_2182337	1	2182337	0.934513421401137
1_2182380	1	2182380	1.03298711842939
1_2182443	1	2182443	0.804337231758351
1_2182461	1	2182461	0.854538044680541
1_2182465	1	2182465	0.813896060183195
1_2190570	1	2190570	0.956636232299277
1_2198019	1	2198019	0.711523734462746
1_2201209	1	2201209	0.776604625614838
1_2229237	1	2229237	0.560964057887365
1_2240778	1	2240778	0.471561754633996
1_2303882	1	2303882	0.602999277684577
1_2303939	1	2303939	0.596694700830368
1_2304552	1	2304552	0.831817968180458
1_2306103	1	2306103	0.957841995044674
1_2321534	1	2321534	0.723293511402289
1_2332683	1	2332683	0.893563201662604
1_2332752	1	2332752	0.911506856809618
1_2358704	1	2358704	0.494293018242077
1_2379143	1	2379143	0.888401496546825
1_2403103	1	2403103	0.97025136308143
1_2405080	1	2405080	0.852414872787571
1_2406784	1	2406784	0.612983366257199
1_2406885	1	2406885	0.802443366046944
1_2408773	1	2408773	0.61041674924706
1_2412497	1	2412497	1.08179622118881
1_2427689	1	2427689	0.679350163814692
1_2430360	1	2430360	0.912436428388742
1_2430393	1	2430393	0.861201774961552
1_2489840	1	2489840	0.87168535129496
1_2491211	1	2491211	0.924927372571939
1_2494907	1	2494907	0.655606703890714
1_2496979	1	2496979	0.552015348965772
1_2499031	1	2499031	0.620533936977088
1_2499660	1	2499660	0.711220679101714
1_2502162	1	2502162	0.954674715965991
1_2502203	1	2502203	0.970442031824308
1_2502535	1	2502535	0.765449158564743
1_2502732	1	2502732	0.907439945843098
1_2504255	1	2504255	0.924927372571939
1_2504662	1	2504662	0.843627270470091
1_2504832	1	2504832	0.610291770250933
1_2504866	1	2504866	0.806871611050227
1_2520751	1	2520751	0.960551282302661
1_2520882	1	2520882	0.856214622487925
1_2521922	1	2521922	0.643514437423291
1_2526571	1	2526571	0.864984832115657
1_2529533	1	2529533	1.00931955986231
1_2529549	1	2529549	0.998508504953047
1_2529768	1	2529768	0.966747548266566
1_2529825	1	2529825	0.74746869844422
1_2530132	1	2530132	0.468862605033041
1_2556673	1	2556673	0.917547842206342
1_2559170	1	2559170	1.19051748330949
1_2559173	1	2559173	1.27285067599225
1_2559459	1	2559459	1.02114268783124
1_2559483	1	2559483	0.80628287607332
1_2559621	1	2559621	0.935051589845647
1_2559632	1	2559632	0.789272273214373
1_2559902	1	2559902	0.620533936977088
1_2588536	1	2588536	0.802070624786406
1_2591576	1	2591576	0.860387120377229
1_2591973	1	2591973	0.701255399008919
1_2592689	1	2592689	0.775549748533713
1_2593833	1	2593833	1.04798576897628
1_2596033	1	2596033	0.885614448547113
1_2596615	1	2596615	0.903340510363793
1_2606261	1	2606261	0.905818549624235
1_2609829	1	2609829	0.60773719669124
1_2609830	1	2609830	0.588878169439924
1_2644433	1	2644433	0.838887541505248
1_2783654	1	2783654	0.777823078539728
1_2785877	1	2785877	0.955515692405362
1_2787490	1	2787490	0.580972971354578
1_2789597	1	2789597	0.685544234802791
1_2800342	1	2800342	0.574020210712811
1_2800478	1	2800478	0.415562490744942
1_2800484	1	2800484	0.472415167874433
1_2800545	1	2800545	0.629471489045768
1_2800790	1	2800790	0.527167864724931
1_3021701	1	3021701	0.495534580316026
1_3021858	1	3021858	0.656110614144139
1_3021860	1	3021860	0.653381466882628
1_3022005	1	3022005	0.645951422869124
1_3022574	1	3022574	0.654838209204195
1_3186480	1	3186480	0.968648750001257
1_3385157	1	3385157	0.622364602551508
1_3386696	1	3386696	0.842465212379966
1_3396544	1	3396544	0.563419269709891
1_3405509	1	3405509	1.00672146373559
1_3411623	1	3411623	0.693257137647481
1_3411715	1	3411715	0.343640529994182
1_3411881	1	3411881	1.01122721896616
1_3412576	1	3412576	0.672442886079055
1_3412736	1	3412736	1.05303219831962
1_3425743	1	3425743	0.743089049586126
1_3426071	1	3426071	0.766229626552881
1_3426095	1	3426095	0.644819453379204
1_3430956	1	3430956	0.632746621078629
1_3431048	1	3431048	0.827965642684851
1_3432131	1	3432131	0.835130702221293
1_3463266	1	3463266	0.60942554684401
1_3463493	1	3463493	0.532085619407292
1_3469503	1	3469503	0.835130702221293
1_3471739	1	3471739	0.971469958508969
1_3473444	1	3473444	0.567537532292911
1_3477892	1	3477892	0.964893779889584
1_3478424	1	3478424	0.787423848822004
1_3478612	1	3478612	1.36350038631157
1_3479532	1	3479532	0.676106825957846
1_3480485	1	3480485	0.528037220003355
1_3492645	1	3492645	0.992041568430476
1_3492682	1	3492682	0.965954640831994
1_3492708	1	3492708	0.857182765936105
1_3493846	1	3493846	0.885933240956076
1_3494017	1	3494017	0.789043944490166
1_3494371	1	3494371	0.742063315422129
1_3495901	1	3495901	0.509889873293096
1_3495957	1	3495957	0.513794327749012
1_3496003	1	3496003	0.542311350985473
1_3497541	1	3497541	0.917695803340864
1_3499682	1	3499682	0.964455736758577
1_3499709	1	3499709	0.924927372571939
1_3499885	1	3499885	1.04292458197039
1_3501081	1	3501081	0.664959269785929
1_3501198	1	3501198	0.458542993292875
1_3505283	1	3505283	0.735266153068365
1_3505549	1	3505549	0.455442089270719
1_3508619	1	3508619	1.08842610485482
1_3510787	1	3510787	0.493211132146465
1_3514574	1	3514574	1.01956424671001
1_3514671	1	3514671	0.924927372571939
1_3515498	1	3515498	0.722619197278824
1_3524189	1	3524189	0.486806260180054
1_3547098	1	3547098	0.719812942667327
1_3595444	1	3595444	0.914280128372431
1_3602546	1	3602546	0.917232980781939
1_3631426	1	3631426	0.274261624799953
1_3722203	1	3722203	1.20246134810085
1_3727147	1	3727147	0.68788817527109
1_3752608	1	3752608	0.824931582595218
1_3752637	1	3752637	1.14512558049548
1_3752792	1	3752792	0.582535175124861
1_3755518	1	3755518	0.560163079774319
1_3756820	1	3756820	0.853668689402117
1_3761290	1	3761290	0.752090775709724
1_3761369	1	3761369	0.898292246068473
1_3762639	1	3762639	0.965004811947274
1_3763322	1	3763322	0.750531667084401
1_3763538	1	3763538	0.999352213698494
1_3763769	1	3763769	0.71547400694299
1_3767350	1	3767350	0.813896060183195
1_3769851	1	3769851	0.687428058845283
1_3771308	1	3771308	0.605170376726204
1_3782760	1	3782760	0.915011903706857
1_3786945	1	3786945	0.833631538552389
1_3787134	1	3787134	0.871156116130959
1_3795946	1	3795946	0.781336518943089
1_3815395	1	3815395	0.809450155152003
1_3815444	1	3815444	0.643601817880656
1_3823504	1	3823504	1.10447679290265
1_3829360	1	3829360	0.539637216687148
1_3829920	1	3829920	0.865221126447672
1_3833933	1	3833933	0.782908367699511
1_3835070	1	3835070	0.994561560408992
1_3836504	1	3836504	0.0948523740142516
1_3839111	1	3839111	0.598699140250952
1_3839662	1	3839662	0.999566173464695
1_3839755	1	3839755	1.01925475512009
1_3847485	1	3847485	0.664959269785929
1_3851795	1	3851795	0.62092118568184
1_3883554	1	3883554	0.835922366513195
1_3883678	1	3883678	0.703570997988016
1_3889984	1	3889984	0.894295753918276
1_3890824	1	3890824	0.533975491817409
1_3890943	1	3890943	0.822078964980189
1_3891029	1	3891029	0.909820480181731
1_3891765	1	3891765	0.582402373077463
1_4711993	1	4711993	0.760807992810833
1_5863309	1	5863309	0.79939649048808
1_5864423	1	5864423	0.671808435603228
1_5864440	1	5864440	0.734704956896399
1_5866447	1	5866447	0.606751412545685
1_5875036	1	5875036	0.77578393326613
1_5875098	1	5875098	0.782908367699511
1_5877102	1	5877102	0.942000885930881
1_5880206	1	5880206	0.853844274510457
1_5890953	1	5890953	0.712519039808114
1_5904731	1	5904731	0.894870138715759
1_5905324	1	5905324	0.699367672156808
1_5905764	1	5905764	0.654073462278846
1_5909185	1	5909185	0.924927372571939
1_5948118	1	5948118	1.07344989728203
1_5978411	1	5978411	0.480446095400614
1_6073370	1	6073370	0.717331953163572
1_6082248	1	6082248	0.924927372571939
1_6082379	1	6082379	1.05480765511885
1_6085742	1	6085742	0.997077158327775
1_6085837	1	6085837	0.947295185600394
1_6085846	1	6085846	0.913956254750936
1_6085878	1	6085878	0.875345343721379
1_6085974	1	6085974	0.924927372571939
1_6086245	1	6086245	0.398858560904352
1_6088993	1	6088993	0.86704645649144
1_6098502	1	6098502	0.620448248440794
1_6099890	1	6099890	0.547994478318598
1_6099973	1	6099973	0.474089151865249
1_6109928	1	6109928	1.01655784803751
1_6124032	1	6124032	1.03245583687638
1_6125548	1	6125548	0.685100357899471
1_6130155	1	6130155	0.744355126930119
1_6130255	1	6130255	0.882222921617701
1_6136809	1	6136809	0.957717307689609
1_6149303	1	6149303	0.94510525450957
1_6152418	1	6152418	0.764462700378693
1_6152469	1	6152469	0.837054616546605
1_6207418	1	6207418	0.667129615104293
1_6208898	1	6208898	0.829067357164423
1_6208934	1	6208934	0.826523668510945
1_6208961	1	6208961	0.879603382062449
1_6209280	1	6209280	0.692753930442906
1_6210409	1	6210409	0.789272273214373
1_6211065	1	6211065	0.595221927092858
1_6212018	1	6212018	0.965569357069285
1_6212030	1	6212030	0.804633138854227
1_6213147	1	6213147	1.26703334939693
1_6218354	1	6218354	0.734824489191997
1_6225119	1	6225119	0.683221476178657
1_6235898	1	6235898	1.12347305195402
1_6244394	1	6244394	1.07176876090121
1_6245232	1	6245232	1.11668817525472
1_6250433	1	6250433	1.15080877998827
1_6250614	1	6250614	0.339964871850783
1_6254623	1	6254623	0.739060827260605
1_6294955	1	6294955	0.74728445796879
1_6339467	1	6339467	1.00436184006634
1_6349836	1	6349836	1.04040458999188
1_6425205	1	6425205	0.454660352572703
1_6440652	1	6440652	0.804966748531027
1_6441049	1	6441049	0.691437242352161
1_6445735	1	6445735	0.361026487378613
1_6447451	1	6447451	0.804245890149476
1_6448769	1	6448769	0.755607401560339
1_6448885	1	6448885	0.879123682958814
1_6449070	1	6449070	0.917065254798969
1_6452055	1	6452055	0.895781026912423
1_6454481	1	6454481	0.907439945843098
1_6461443	1	6461443	0.614971919350653
1_6462158	1	6462158	0.884285388074593
1_6462984	1	6462984	0.765224754295992
1_6463050	1	6463050	0.602999277684577
1_6464643	1	6464643	0.934775158528287
1_6468242	1	6468242	0.758108281997449
1_6468255	1	6468255	0.890161954411263
1_6468378	1	6468378	0.70363750768265
1_6468505	1	6468505	0.774593099487508
1_6469128	1	6469128	0.769056461687176
1_6469143	1	6469143	0.80602196730312
1_6473275	1	6473275	0.924927372571939
1_6473333	1	6473333	0.916978619456448
1_6474072	1	6474072	0.835130702221293
1_6474109	1	6474109	0.855885728142288
1_6474583	1	6474583	0.882863313005395
1_6475089	1	6475089	0.952672363054843
1_6475992	1	6475992	0.5289986962408
1_6476016	1	6476016	0.523310389055417
1_6506029	1	6506029	0.792823836564594
1_6506064	1	6506064	0.79247707654829
1_6506148	1	6506148	1.2191104769764
1_6550472	1	6550472	0.568306559518417
1_6554475	1	6554475	0.934145902601318
1_6555384	1	6555384	1.14251880764457
1_6555409	1	6555409	1.04830978807722
1_6571046	1	6571046	0.81422390816572
1_6571204	1	6571204	0.914280128372431
1_6574642	1	6574642	0.823998463721159
1_6575249	1	6575249	0.838770728822225
1_6578719	1	6578719	0.983030327135507
1_6579332	1	6579332	0.0717687609012106
1_6579376	1	6579376	0.770599226180645
1_6581000	1	6581000	0.567375367953856
1_6593421	1	6593421	0.992671979207774
1_6633012	1	6633012	0.873212336027784
1_6633037	1	6633037	0.866510686346617
1_6634039	1	6634039	0.542070279042245
1_6634059	1	6634059	0.55528177610711
1_6635690	1	6635690	0.924927372571939
1_6636172	1	6636172	0.391350258117694
1_6638330	1	6638330	0.967155607961237
1_6644575	1	6644575	0.316505899026794
1_6645814	1	6645814	0.47141572547846
1_6645884	1	6645884	0.784064836732089
1_6651086	1	6651086	0.89176050863674
1_6825174	1	6825174	0.891452668020851
1_7370160	1	7370160	0.664612468091738
1_7370205	1	7370205	0.785524315906523
1_7621940	1	7621940	0.588878169439924
1_7663474	1	7663474	0.760889214206541
1_7663528	1	7663528	0.734496715694985
1_7664502	1	7664502	0.705360995314255
1_7664637	1	7664637	0.84585580158074
1_7664737	1	7664737	0.873088441052321
1_7670988	1	7670988	0.686316440677363
1_7732460	1	7732460	0.548959437971688
1_7737485	1	7737485	0.805780107278935
1_7738425	1	7738425	0.509889873293096
1_7778168	1	7778168	0.659688695811415
1_7809988	1	7809988	1.04376360208179
1_7810546	1	7810546	0.846924860570666
1_7819317	1	7819317	0.612543050355448
1_7826538	1	7826538	0.872459952677804
1_7826690	1	7826690	0.972233087350296
1_7827439	1	7827439	0.87197849262298
1_7827501	1	7827501	0.860221683184124
1_7827519	1	7827519	0.797171825373567
1_7827709	1	7827709	0.803911971610573
1_7829881	1	7829881	0.910130370643859
1_7829887	1	7829887	0.815993001018775
1_7829993	1	7829993	0.600087682264674
1_7830004	1	7830004	0.575342934781711
1_7830049	1	7830049	0.6290371385861
1_7842655	1	7842655	0.823047758552726
1_7842676	1	7842676	0.712623768859075
1_7846697	1	7846697	0.982642870428227
1_7852915	1	7852915	0.619118943047854
1_7852944	1	7852944	0.559642908490195
1_7935030	1	7935030	0.609151504666172
1_7939911	1	7939911	0.794343262761795
1_8013850	1	8013850	0.561491069780308
1_8013869	1	8013869	0.586647072277134
1_8013883	1	8013883	0.743089049586126
1_8014274	1	8014274	0.877621657793583
1_8330435	1	8330435	0.952941748741536
1_8330720	1	8330720	1.03713687615796
1_8330828	1	8330828	0.933916155799194
1_8335614	1	8335614	0.782187200455857
1_8339614	1	8339614	0.705614344167463
1_8343775	1	8343775	0.673865608404221
1_8343908	1	8343908	0.760116502826269
1_8355558	1	8355558	0.758108281997449
1_8358650	1	8358650	0.924927372571939
1_8358860	1	8358860	0.824763210646507
1_8359794	1	8359794	1.20020537416048
1_8360375	1	8360375	0.702534951235491
1_8360443	1	8360443	0.744355126930119
1_8360492	1	8360492	0.955954268192564
1_8360503	1	8360503	1.08020559804985
1_8360612	1	8360612	0.910427802876824
1_8361083	1	8361083	0.723596566763321
1_8361126	1	8361126	0.614797849002844
1_8624343	1	8624343	0.789113517226219
1_8656247	1	8656247	1.12237343677816
1_8861360	1	8861360	0.639306281670905
1_8949303	1	8949303	1.02876318355648
1_8949347	1	8949347	1.15034748660596
1_8949355	1	8949355	1.10180513465602
1_8949393	1	8949393	1.09799208154482
1_8951527	1	8951527	1.20246134810085
1_8974362	1	8974362	0.769808305905033
1_9007318	1	9007318	0.376801640031154
1_9007358	1	9007358	0.701152397185373
1_9014735	1	9014735	0.399465883599445
1_9014802	1	9014802	0.426676505044114
1_9014814	1	9014814	0.343153149481831
1_9014831	1	9014831	0.402249150105126
1_9038482	1	9038482	0.602999277684577
1_9039892	1	9039892	0.583418908715061
1_9041924	1	9041924	0.846317537875573
1_9057537	1	9057537	0.513925386528252
1_9058188	1	9058188	0.7881910357802
1_9104515	1	9104515	0.843133281408292
1_9104577	1	9104577	0.475942541369758
1_9105626	1	9105626	0.768525815229372
1_9242965	1	9242965	0.620773979412553
1_9245189	1	9245189	0.810157185325865
1_9245334	1	9245334	0.488356711743454
1_9246991	1	9246991	0.558145041900316
