	Chromosome	Position	63RT3_TISSUE_vs_63RT3_PBMC.tumour
1_1211644	1	1211644	0.16176434943547
1_1212898	1	1212898	0.270441125808447
1_1213249	1	1213249	-0.0562363027838204
1_1213734	1	1213734	-0.172747413784546
1_1214100	1	1214100	-0.358303066940622
1_1217629	1	1217629	0.120580914362848
1_1218703	1	1218703	0.18508806027515
1_1218967	1	1218967	-0.118784585577314
1_1228651	1	1228651	0.223883417836682
1_1228685	1	1228685	-0.0225544774664174
1_1232416	1	1232416	0.342973335699296
1_1232800	1	1232800	0.394269712661306
1_1242506	1	1242506	0.0492896201770571
1_1242516	1	1242516	0.163908346026948
1_1242601	1	1242601	0.384309090366726
1_1242864	1	1242864	-0.113713596029892
1_1242871	1	1242871	-0.046875831488715
1_1242875	1	1242875	0.0531940746329731
1_1242886	1	1242886	0.0531940746329731
1_1243468	1	1243468	0.0573870878756535
1_1244420	1	1244420	-0.00979326237765303
1_1246651	1	1246651	-0.139808770215382
1_1255392	1	1255392	0.0951955959429342
1_1262318	1	1262318	-0.0332553369411568
1_1266173	1	1266173	-0.210894547572822
1_1266225	1	1266225	0.0136657104463358
1_1284021	1	1284021	-0.308262384441026
1_1285442	1	1285442	0.0136657104463358
1_1285529	1	1285529	0.27670011628013
1_1285594	1	1285594	0.179251776164311
1_1286150	1	1286150	-0.224846376253389
1_1286952	1	1286952	0.0457269196786345
1_1287578	1	1287578	0.232675492388132
1_1287983	1	1287983	0.0829283728834497
1_1288005	1	1288005	0.038327764680605
1_1290683	1	1290683	0.296065441147061
1_1290687	1	1290687	0.263643963454683
1_1291289	1	1291289	-0.318909628640535
1_1291310	1	1291310	-0.308262384441026
1_1291396	1	1291396	-0.346230234640047
1_1294498	1	1294498	-0.496949448814739
1_1296589	1	1296589	-0.444016126241002
1_1309258	1	1309258	-0.20534407149546
1_1310642	1	1310642	-0.758923793450592
1_1310993	1	1310993	-0.255520922369053
1_1311058	1	1311058	-0.582978595322456
1_1311467	1	1311467	-0.185643097777071
1_1311527	1	1311527	-0.163212051637744
1_1311620	1	1311620	-0.214603277226782
1_1312114	1	1312114	0.0315876184435983
1_1313527	1	1313527	0.292641660149151
1_1313807	1	1313807	0.0968069457465817
1_1315577	1	1315577	-0.401371788832508
1_1319056	1	1319056	-0.141308949530005
1_1319063	1	1319063	-0.000548148773364955
1_1327457	1	1327457	0.338627865423331
1_1327560	1	1327560	0.216482593446023
1_1327577	1	1327577	0.230157530343099
1_1327705	1	1327705	0.389174845538542
1_1331666	1	1331666	0.146116006469986
1_1332116	1	1332116	0.0292625654973545
1_1332124	1	1332124	-0.0511854339036321
1_1332226	1	1332226	-0.354978883348057
1_1332271	1	1332271	-0.143875566540144
1_1332677	1	1332677	0.175416780442948
1_1333466	1	1333466	-0.0167079385971831
1_1334123	1	1334123	0.241471627969148
1_1334174	1	1334174	0.530241236187242
1_1334422	1	1334422	0.353515713330961
1_1336134	1	1336134	0.27670011628013
1_1336134.1	1	1336134	0.27670011628013
1_1336256	1	1336256	0.629001860211011
1_1336473	1	1336473	0.263643963454683
1_1338022	1	1338022	-0.158286972342959
1_1339592	1	1339592	-0.169198346703475
1_1340503	1	1340503	-0.0180431492810022
1_1342153	1	1342153	0.0320442397611905
1_1353897	1	1353897	0.149727260022364
1_1354066	1	1354066	0.365967454377217
1_1355028	1	1355028	0.180024096868456
1_1387355	1	1387355	0.0136657104463358
1_1393431	1	1393431	-0.00923469166374291
1_1399095	1	1399095	-0.0458353013023261
1_1405744	1	1405744	0.0255398107346275
1_1405858	1	1405858	0.0136657104463358
1_1419135	1	1419135	0.0833746822577403
1_1419136	1	1419136	0.0691608230380394
1_1419158	1	1419158	-0.0942496287205519
1_1419399	1	1419399	-0.147489081368245
1_1419540	1	1419540	-0.00361228098549963
1_1420066	1	1420066	0.490712872000604
1_1420173	1	1420173	0.24664288242395
1_1420283	1	1420283	0.282482468874136
1_1420931	1	1420931	-0.339005907872134
1_1426164	1	1426164	0.0777960478660513
1_1426253	1	1426253	-0.318909628640535
1_1426316	1	1426316	-0.528228068382934
1_1426353	1	1426353	-0.664406194666302
1_1434873	1	1434873	0.121725456303789
1_1434897	1	1434897	-0.0464552819912351
1_1434899	1	1434899	-0.0910316682203574
1_1436888	1	1436888	0.119275898406935
1_1436889	1	1436889	0.154528246286186
1_1437061	1	1437061	0.0737867028839067
1_1437288	1	1437288	0.16176434943547
1_1439581	1	1439581	0.368330591745698
1_1439682	1	1439682	0.221773905776536
1_1439715	1	1439715	0.165668803891386
1_1452367	1	1452367	0.0498858983590891
1_1455506	1	1455506	0.02498102367417
1_1455812	1	1455812	-0.346924004810132
1_1455828	1	1455828	-0.431473820621927
1_1457141	1	1457141	-0.0151891522258493
1_1457142	1	1457142	0.0419547548777596
1_1460831	1	1460831	-0.0995449000016551
1_1460864	1	1460864	0.0443625076692523
1_1468408	1	1468408	-0.297263385491769
1_1468434	1	1468434	-0.180837313716643
1_1477343	1	1477343	-0.247459105378826
1_1478568	1	1478568	0.0589897009558261
1_1485152	1	1485152	-0.0388017094477996
1_1485808	1	1485808	-0.133175677882935
1_1487887	1	1487887	0.0464556455640052
1_1489782	1	1489782	0.110527249698925
1_1490287	1	1490287	0.0725593994999046
1_1490346	1	1490346	0.0434130538403878
1_1490373	1	1490373	0.136522458231869
1_1495604	1	1495604	-0.551397232837116
1_1495695	1	1495695	0.417562652119979
1_1495725	1	1495725	0.376235789831044
1_1495783	1	1495783	0.422471256013665
1_1495793	1	1495793	0.499092537616577
1_1512312	1	1512312	-0.128353294426092
1_1523889	1	1523889	-0.0277542169336449
1_1533961	1	1533961	0.279945775783784
1_1535427	1	1535427	-0.208726710890112
1_1535428	1	1535428	-0.253120830248565
1_1544894	1	1544894	0.1469322413098
1_1599902	1	1599902	-0.0555969519907778
1_1615755	1	1615755	-0.373357412662912
1_1615856	1	1615856	-0.0269762740510101
1_1615869	1	1615869	-0.0872631984044449
1_1616572	1	1616572	0.0457269196786345
1_1623412	1	1623412	-0.0281544652482912
1_1623829	1	1623829	0.103863519417914
1_1623847	1	1623847	-0.00802936065298331
1_1625566	1	1625566	0.0829283728834497
1_1627150	1	1627150	0.107447856766953
1_1627322	1	1627322	0.133404954720431
1_1629261	1	1629261	-0.0845146834925676
1_1630322	1	1630322	0.272399978846504
1_1632438	1	1632438	0.0548883731728487
1_1636993	1	1636993	-0.228409076751812
1_1637828	1	1637828	-0.294456584915996
1_1665856	1	1665856	0.440291184000391
1_1669706	1	1669706	-0.330288690771026
1_1704310	1	1704310	0.0289324670996464
1_1719368	1	1719368	0.0745479525933583
1_1732521	1	1732521	-0.284014838194349
1_1752910	1	1752910	0.0136657104463358
1_1754628	1	1754628	0.0985546080328487
1_1754642	1	1754642	0.0876662918901125
1_1757280	1	1757280	0.188163441678472
1_1759105	1	1759105	0.139196592530195
1_1762005	1	1762005	0.0742072523813866
1_1815818	1	1815818	0.0495852847012785
1_1891375	1	1891375	0.129142927866272
1_1915326	1	1915326	-0.235948179625136
1_1916540	1	1916540	-0.0195011534888634
1_1916792	1	1916792	-0.0388017094477996
1_1918513	1	1918513	-0.153791035405227
1_1923136	1	1923136	-0.0629555711565767
1_1923140	1	1923140	-0.0407820735760407
1_1923904	1	1923904	0.0305395290107318
1_1924451	1	1924451	-0.113713596029892
1_1926326	1	1926326	0.217538043811986
1_1926457	1	1926457	-0.0581249726216743
1_1926661	1	1926661	-0.206115497433574
1_1926722	1	1926722	0.0585199462305962
1_1942086	1	1942086	0.418507442619291
1_1944420	1	1944420	0.28496773226373
1_1956754	1	1956754	0.220116587913762
1_1964940	1	1964940	-0.0490700449016267
1_1966450	1	1966450	0.103863519417914
1_1966521	1	1966521	-0.57129679027482
1_1968644	1	1968644	-0.17897936749606
1_1968772	1	1968772	-0.193776369424141
1_1970690	1	1970690	-0.171889942709741
1_1970786	1	1970786	-0.249368695387458
1_1972962	1	1972962	0.637517224561087
1_1974028	1	1974028	0.0136657104463358
1_1985090	1	1985090	0.103462380796982
1_2023748	1	2023748	-0.19278516702109
1_2024324	1	2024324	0.0136657104463358
1_2024503	1	2024503	-0.133175677882935
1_2024579	1	2024579	-0.117578822831917
1_2025598	1	2025598	-0.0183954987859628
1_2025673	1	2025673	-0.143875566540144
1_2029235	1	2029235	-0.166906535195485
1_2029675	1	2029675	0.0464556455640052
1_2030027	1	2030027	-0.225800224249054
1_2056554	1	2056554	-0.171549162020572
1_2059575	1	2059575	0.152828458117961
1_2074688	1	2074688	0.0136657104463358
1_2169339	1	2169339	0.0695189451798533
1_2169401	1	2169401	-0.00651217149129441
1_2169539	1	2169539	0.297458676446927
1_2169545	1	2169545	0.407008138625861
1_2180521	1	2180521	-0.0878723160157262
1_2181939	1	2181939	0.0365661125564146
1_2182126	1	2182126	-0.111865171637523
1_2182337	1	2182337	-0.36220119155183
1_2182380	1	2182380	-0.302361783001342
1_2182443	1	2182443	-0.198487526385274
1_2182461	1	2182461	-0.299833762370446
1_2182465	1	2182465	-0.297121826835826
1_2190570	1	2190570	-0.143875566540144
1_2198019	1	2198019	0.0299675227754364
1_2201209	1	2201209	0.243671315892659
1_2229237	1	2229237	0.0876662918901125
1_2240778	1	2240778	-0.253438359696505
1_2303882	1	2303882	-0.514265845238441
1_2303882.1	1	2303882	-0.514265845238441
1_2303939	1	2303939	-0.184879968935744
1_2304552	1	2304552	0.400688833555583
1_2304552.1	1	2304552	0.400688833555583
1_2306103	1	2306103	-0.345415382858493
1_2321534	1	2321534	0.0896145636796342
1_2332683	1	2332683	-0.268734020254389
1_2332752	1	2332752	-0.379998138039941
1_2358704	1	2358704	0.286684204852752
1_2379143	1	2379143	-0.0300556669829821
1_2403103	1	2403103	-0.372392721860742
1_2405080	1	2405080	0.439930465148434
1_2405080.1	1	2405080	0.439930465148434
1_2405080.2	1	2405080	0.439930465148434
1_2405080.3	1	2405080	0.439930465148434
1_2406784	1	2406784	0.0961278706383089
1_2406885	1	2406885	0.416424879946743
1_2408773	1	2408773	0.0961278706383089
1_2412497	1	2412497	-0.129698464724842
1_2427689	1	2427689	0.0731667221949974
1_2430360	1	2430360	-0.163212051637744
1_2430393	1	2430393	0.241076206549408
1_2489840	1	2489840	0.0681134944687125
1_2491211	1	2491211	-0.437713635896228
1_2494907	1	2494907	-0.35074571576254
1_2496979	1	2496979	-0.401371788832508
1_2499031	1	2499031	0.0900165965764506
1_2499660	1	2499660	0.39553634578998
1_2502162	1	2502162	0.0353607815456549
1_2502203	1	2502203	-0.088696007183342
1_2502535	1	2502535	0.0136657104463358
1_2502732	1	2502732	0.343814312138667
1_2504255	1	2504255	0.131022661084495
1_2504662	1	2504662	-0.332509930687704
1_2504832	1	2504832	0.0742072523813866
1_2504866	1	2504866	-0.00739590508149376
1_2520751	1	2520751	0.143433585416666
1_2520882	1	2520882	0.1141925864003
1_2521922	1	2521922	0.153390474112949
1_2526571	1	2526571	0.214363060683465
1_2529533	1	2529533	0.293773629639071
1_2529549	1	2529549	0.206310788388732
1_2529768	1	2529768	0.119599155195401
1_2529825	1	2529825	-0.0346973111150632
1_2530132	1	2530132	0.212445574560833
1_2556673	1	2556673	0.1141925864003
1_2559170	1	2559170	-0.156259290995977
1_2559173	1	2559173	-0.239100359933631
1_2559459	1	2559459	0.598628211167492
1_2559483	1	2559483	0.37895017452808
1_2559621	1	2559621	0.292381738512399
1_2559632	1	2559632	0.381397494946823
1_2559902	1	2559902	-0.261968732167092
1_2588536	1	2588536	0.105783912434767
1_2591576	1	2591576	0.09062769226122
1_2591973	1	2591973	0.208481887430359
1_2592689	1	2592689	0.695489750420081
1_2593833	1	2593833	-0.480443359823707
1_2596033	1	2596033	-0.00245395491694111
1_2596615	1	2596615	-0.0277542169336449
1_2606261	1	2606261	-0.327371207388731
1_2609829	1	2609829	0.149320809803902
1_2609830	1	2609830	0.211605088058245
1_2644433	1	2644433	-0.00361228098549963
1_2783654	1	2783654	0.304566909713074
1_2785877	1	2785877	0.0136657104463358
1_2787490	1	2787490	0.0136657104463358
1_2789597	1	2789597	0.0807799063048727
1_2800342	1	2800342	0.323350209578951
1_2800478	1	2800478	0.241934698119453
1_2800484	1	2800484	0.142399024568539
1_2800545	1	2800545	0.0460871881387132
1_2800790	1	2800790	0.439930465148434
1_3021701	1	3021701	0.0737867028839067
1_3021858	1	3021858	-0.249368695387458
1_3021860	1	3021860	-0.244646285145055
1_3022005	1	3022005	-0.0215237180159642
1_3022574	1	3022574	0.42870320972518
1_3186480	1	3186480	-0.0524234800114367
1_3186480.1	1	3186480	-0.0524234800114367
1_3385157	1	3385157	0.727361525289695
1_3386696	1	3386696	0.0725593994999046
1_3396544	1	3396544	0.178724956716832
1_3405509	1	3405509	-0.0307284089121176
1_3411623	1	3411623	0.0631343867106357
1_3411715	1	3411715	-0.0748709641553216
1_3411881	1	3411881	0.0900165965764506
1_3412576	1	3412576	-0.0657687570480691
1_3412736	1	3412736	-0.152344240992593
1_3425743	1	3425743	0.331147900302506
1_3426071	1	3426071	0.303172327641321
1_3426095	1	3426095	0.213603280955088
1_3430956	1	3430956	-0.000833859248779315
1_3431048	1	3431048	0.0686321696642642
1_3432131	1	3432131	0.165668803891386
1_3463266	1	3463266	0.0136657104463358
1_3463493	1	3463493	0.0136657104463358
1_3469503	1	3469503	0.0567344323382219
1_3471739	1	3471739	-0.0336400043320208
1_3473444	1	3473444	0.194237956088157
1_3477892	1	3477892	0.304897008110782
1_3478424	1	3478424	-0.0643368015549374
1_3478612	1	3478612	-0.133175677882935
1_3479532	1	3479532	0.0136657104463358
1_3480485	1	3480485	-0.273215437341826
1_3492645	1	3492645	-0.0394456260132266
1_3492682	1	3492682	-0.17685619560309
1_3492708	1	3492708	-0.215359803222559
1_3493846	1	3493846	-0.15880148555843
1_3494017	1	3494017	0.0876662918901125
1_3494371	1	3494371	0.0335652678840408
1_3495901	1	3495901	0.0136657104463358
1_3495957	1	3495957	0.104813598504531
1_3496003	1	3496003	-0.198878924933765
1_3497541	1	3497541	0.157256564075186
1_3499682	1	3499682	-0.0434781966572729
1_3499709	1	3499709	0.0434130538403878
1_3499885	1	3499885	0.0297853758096129
1_3501081	1	3501081	0.0297853758096129
1_3501198	1	3501198	0.21924984409623
1_3505283	1	3505283	-0.149833021836544
1_3505549	1	3505549	0.490987487979522
1_3508619	1	3508619	-0.169780430649595
1_3510787	1	3510787	0.280769780589177
1_3514574	1	3514574	-0.72329988371987
1_3514671	1	3514671	-0.280065492610375
1_3515498	1	3515498	-0.119600820417128
1_3524189	1	3524189	0.490987487979522
1_3547098	1	3547098	-0.468727056634272
1_3595444	1	3595444	-0.053448485412201
1_3602546	1	3602546	0.104431174369518
1_3631426	1	3631426	-0.62104982547192
1_3722203	1	3722203	-0.368204924897309
1_3727147	1	3727147	-0.0264117289289994
1_3752608	1	3752608	0.244991256552792
1_3752637	1	3752637	-0.0458353013023261
1_3752792	1	3752792	0.192635851491655
1_3755518	1	3755518	-0.0401055459946449
1_3756820	1	3756820	-0.139957478666876
1_3761290	1	3761290	0.127322492241903
1_3761369	1	3761369	0.140577822928556
1_3762639	1	3762639	0.0742072523813866
1_3763322	1	3763322	-0.123837813303599
1_3763538	1	3763538	0.119275898406935
1_3763769	1	3763769	-0.148085359550276
1_3767350	1	3767350	-0.00425619755092665
1_3769851	1	3769851	0.026841099194069
1_3771308	1	3771308	-0.20564731795814
1_3782760	1	3782760	0.0521398582609716
1_3786945	1	3786945	0.399556864065663
1_3787134	1	3787134	0.444300064776198
1_3795946	1	3795946	-0.0999910713492315
1_3815395	1	3815395	0.151169234196271
1_3815444	1	3815444	0.206310788388732
1_3823504	1	3823504	0.0876662918901125
1_3829360	1	3829360	0.00159287814576094
1_3829920	1	3829920	0.026721863271782
1_3833933	1	3833933	0.0557911861190124
1_3835070	1	3835070	0.0269625330597936
1_3836504	1	3836504	0.0136657104463358
1_3839111	1	3839111	-0.10734969051503
1_3839662	1	3839662	0.206310788388732
1_3839755	1	3839755	-0.0932494934701761
1_3847485	1	3847485	0.164082552999434
1_3851795	1	3851795	0.415764154017681
1_3883554	1	3883554	-0.359551613137881
1_3883678	1	3883678	0.0777960478660513
1_3889984	1	3889984	0.0954598016099831
1_3890824	1	3890824	-0.316039735032746
1_3890943	1	3890943	-0.210894547572822
1_3891029	1	3891029	-0.111865171637523
1_3891765	1	3891765	-0.176665501657813
1_4711993	1	4711993	-0.249368695387458
1_5863309	1	5863309	-0.153444275388922
1_5864423	1	5864423	-0.393992258466911
1_5864440	1	5864440	-0.416018564796909
1_5866447	1	5866447	-0.174779378966774
1_5875036	1	5875036	0.123638552471468
1_5875098	1	5875098	-0.00544311250136883
1_5877102	1	5877102	0.167471046525371
1_5877102.1	1	5877102	0.167471046525371
1_5880206	1	5880206	0.0833746822577403
1_5890953	1	5890953	-0.191448719458277
1_5904731	1	5904731	-0.0191242246713337
1_5905324	1	5905324	0.0625753109272823
1_5905324.1	1	5905324	0.0625753109272823
1_5905764	1	5905764	0.107532633910558
1_5909185	1	5909185	-0.0356620019172325
1_5909185.1	1	5909185	-0.0356620019172325
1_5948118	1	5948118	-0.0407820735760407
1_5978411	1	5978411	-0.0300556669829821
1_5978411.1	1	5978411	-0.0300556669829821
1_6073370	1	6073370	-0.0352438900346105
1_6082248	1	6082248	-0.0383289271919256
1_6082379	1	6082379	-0.119089498405436
1_6085742	1	6085742	-0.0477348342178074
1_6085837	1	6085837	-0.144596373470396
1_6085846	1	6085846	-0.0845146834925676
1_6085878	1	6085878	-0.312835114230851
1_6085974	1	6085974	-0.07514355651152
1_6086245	1	6086245	0.317057853896271
1_6088993	1	6088993	-0.110323006829118
1_6098502	1	6098502	0.0620287320077349
1_6099890	1	6099890	-0.0899569206278214
1_6099973	1	6099973	-0.0595832715843028
1_6109928	1	6109928	-0.366938291768634
1_6124032	1	6124032	-0.300844912878544
1_6125548	1	6125548	-0.165503135239596
1_6130155	1	6130155	-0.134087909997356
1_6130255	1	6130255	-0.652216785658388
1_6136809	1	6136809	-0.0626851756837791
1_6149303	1	6149303	-0.240090881799447
1_6152418	1	6152418	-0.224494026748429
1_6152469	1	6152469	0.000490321698602724
1_6207418	1	6207418	0.108822943486676
1_6208898	1	6208898	0.188752417004427
1_6208934	1	6208934	0.16176434943547
1_6208961	1	6208961	0.187695110221385
1_6209280	1	6209280	-0.176158848433681
1_6210409	1	6210409	0.0136657104463358
1_6211065	1	6211065	0.252853374325762
1_6212018	1	6212018	-0.15880148555843
1_6212030	1	6212030	-0.164121408768947
1_6213147	1	6213147	0.154528246286186
1_6218354	1	6218354	0.165668803891386
1_6225119	1	6225119	0.280180685015092
1_6235898	1	6235898	-0.116394830118037
1_6244394	1	6244394	0.249043773377264
1_6245232	1	6245232	-0.102848298280089
1_6250433	1	6250433	0.554234091809039
1_6250614	1	6250614	-0.630190479328389
1_6254623	1	6254623	-0.0452279786072327
1_6294955	1	6294955	0.216158574345079
1_6339467	1	6339467	0.0651960110864179
1_6349836	1	6349836	0.477612810206126
1_6425205	1	6425205	0.37082229364468
1_6440652	1	6440652	-0.0243021397526848
1_6441049	1	6441049	0.0961278706383089
1_6445735	1	6445735	-0.57129679027482
1_6447451	1	6447451	-0.0782567789947036
1_6448769	1	6448769	-0.445765908190961
1_6448885	1	6448885	-0.338850704274449
1_6449070	1	6449070	0.270005463706121
1_6452055	1	6452055	-0.00144118194387251
1_6454481	1	6454481	-0.213403198099585
1_6461443	1	6461443	0.0136657104463358
1_6462158	1	6462158	0.107993092994489
1_6462984	1	6462984	0.121814514301958
1_6463050	1	6463050	0.101613409722038
1_6464643	1	6464643	-0.183780353759881
1_6468242	1	6468242	0.163691154450943
1_6468255	1	6468255	0.109243370428567
1_6468378	1	6468378	0.0823784605303502
1_6468505	1	6468505	0.270005463706121
1_6469128	1	6469128	0.105588199887375
1_6469143	1	6469143	0.181393156184402
1_6473275	1	6473275	0.412215086936611
1_6473275.1	1	6473275	0.412215086936611
1_6473333	1	6473333	0.397580692229399
1_6474072	1	6474072	0.231845880495869
1_6474109	1	6474109	0.171730556678587
1_6474583	1	6474583	-0.0017643301232701
1_6475089	1	6475089	-0.0135557582886884
1_6475089.1	1	6475089	-0.0135557582886884
1_6475992	1	6475992	-0.0519226311812408
1_6476016	1	6476016	0.0136657104463358
1_6506029	1	6506029	-0.0687964497456371
1_6506064	1	6506064	0.131022661084495
1_6506148	1	6506148	0.179675661885265
1_6550472	1	6550472	0.11320138399725
1_6554475	1	6554475	0.0695189451798533
1_6555384	1	6555384	-0.514265845238441
1_6555409	1	6555409	-0.318909628640535
1_6571046	1	6571046	0.172363456465394
1_6571204	1	6571204	0.142948727391302
1_6574642	1	6574642	0.242484400942217
1_6575249	1	6575249	0.203768593826279
1_6578719	1	6578719	0.0332945171952684
1_6579332	1	6579332	0.0709988855122875
1_6579376	1	6579376	-0.104515715901978
1_6581000	1	6581000	0.139196592530195
1_6593421	1	6593421	-0.0458353013023261
1_6633012	1	6633012	0.156270105889136
1_6633037	1	6633037	0.163412829951018
1_6634039	1	6634039	-0.0378645901937462
1_6634059	1	6634059	-0.0336400043320208
1_6635690	1	6635690	0.00277739430359959
1_6636172	1	6636172	-0.0903573540968925
1_6638330	1	6638330	0.456183946147287
1_6644575	1	6644575	0.104431174369518
1_6645814	1	6645814	0.82102063250394
1_6645884	1	6645884	0.592025476343245
1_6651086	1	6651086	-0.258706559966794
1_6825174	1	6825174	-0.0197572910911145
1_7370160	1	7370160	0.512767474513654
1_7370205	1	7370205	0.499092537616577
1_7621940	1	7621940	0.149017563341222
1_7663474	1	7663474	-0.168537620774413
1_7663528	1	7663528	-0.401371788832508
1_7664502	1	7664502	0.048855138908636
1_7664637	1	7664637	0.203490269326353
1_7664737	1	7664737	-0.117578822831917
1_7670988	1	7670988	-0.00569961442059524
1_7732460	1	7732460	-0.113446207457004
1_7737485	1	7737485	-0.0524234800114367
1_7738425	1	7738425	0.0516335606453562
1_7778168	1	7778168	-0.0416167250548539
1_7809988	1	7809988	0.121725456303789
1_7810546	1	7810546	0.171206987432816
1_7819317	1	7819317	-0.290487682713051
1_7826538	1	7826538	-0.168332123296551
1_7826690	1	7826690	0.10764185865535
1_7827439	1	7827439	-0.150453669314771
1_7827501	1	7827501	0.285470325907862
1_7827519	1	7827519	0.173322376434821
1_7827709	1	7827709	0.157256564075186
1_7829881	1	7829881	-0.478932772126161
1_7829887	1	7829887	-0.560325672453817
1_7829993	1	7829993	-0.0932494934701761
1_7830004	1	7830004	-0.171889942709741
1_7830049	1	7830049	-0.23426180299725
1_7842655	1	7842655	0.220116587913762
1_7842676	1	7842676	0.0764014657942987
1_7846697	1	7846697	0.169784912363618
1_7852915	1	7852915	-0.19278516702109
1_7852944	1	7852944	-0.20004098302389
1_7935030	1	7935030	0.210357621451433
1_7939911	1	7939911	0.185277088516535
1_8013850	1	8013850	0.0795536461027928
1_8013869	1	8013869	0.174820502260916
1_8013883	1	8013883	0.191061961319783
1_8014274	1	8014274	0.126876320894327
1_8330435	1	8330435	-0.0352438900346105
1_8330720	1	8330720	0.273532837201447
1_8330828	1	8330828	0.0480172152371129
