	Chromosome	Position	67B_T1_vs_67_PBMC.tumour
1_1291310	1	1291310	0.285515372465382
1_1291396	1	1291396	0.571200278707958
1_1294498	1	1294498	0.621895927869227
1_1296589	1	1296589	0.494403529452082
1_1309258	1	1309258	0.484533285428021
1_1310642	1	1310642	0.33614144553535
1_1310993	1	1310993	0.565027628957298
1_1311058	1	1311058	0.294321269840722
1_1311467	1	1311467	0.650250035963413
1_1311527	1	1311527	0.440092409574258
1_1311620	1	1311620	0.495080586190776
1_1312114	1	1312114	0.280432012949062
1_1313527	1	1313527	0.973571366150641
1_1313807	1	1313807	0.536779314231276
1_1315577	1	1315577	0.388608865429485
1_1319056	1	1319056	0.549545083644543
1_1319063	1	1319063	0.595724426180214
1_1327457	1	1327457	0.56934062182838
1_1327560	1	1327560	0.365888788929401
1_1327577	1	1327577	0.392724973901717
1_1327705	1	1327705	0.382935657014291
1_1331666	1	1331666	0.0459222103753253
1_1332116	1	1332116	0.507621913479703
1_1332124	1	1332124	0.4881445389804
1_1332226	1	1332226	0.466201986099722
1_1332271	1	1332271	0.340990845196745
1_1332677	1	1332677	0.31126677689632
1_1333466	1	1333466	0.474661309616777
1_1334123	1	1334123	0.759352876259893
1_1334174	1	1334174	0.651643271263279
1_1334422	1	1334422	0.1841383520903
1_1336134	1	1336134	0.274740900871206
1_1336256	1	1336256	0.10963291572667
1_1336473	1	1336473	0.200309642761445
1_1338022	1	1338022	0.136469100698985
1_1339592	1	1339592	0.522909957141076
1_1340503	1	1340503	0.677178363370416
1_1342153	1	1342153	0.558533866871797
1_1353897	1	1353897	0.597266261360512
1_1354066	1	1354066	0.892041480654043
1_1355028	1	1355028	0.72288990038277
1_1387355	1	1387355	0.621668211817789
1_1393431	1	1393431	0.55503642263557
1_1399095	1	1399095	0.776942040879275
1_1405744	1	1405744	0.205744808279675
1_1405858	1	1405858	0.664301494134226
1_1419135	1	1419135	0.378266921208026
1_1419136	1	1419136	0.371891470484551
1_1419158	1	1419158	0.351571486104956
1_1419399	1	1419399	0.379210167427235
1_1419540	1	1419540	0.264248527053564
1_1420066	1	1420066	0.850714618365108
1_1420173	1	1420173	0.547645550729061
1_1420283	1	1420283	0.51671369117717
1_1420931	1	1420931	0.458998193320883
1_1426164	1	1426164	0.565312399502859
1_1426253	1	1426253	0.563900376621613
1_1426316	1	1426316	0.493381187346547
1_1426353	1	1426353	0.632997518465879
1_1434873	1	1434873	0.653203785250896
1_1434897	1	1434897	0.62832219702866
1_1434899	1	1434899	0.591138532303725
1_1436888	1	1436888	0.62832219702866
1_1436889	1	1436889	0.633821994176035
1_1437061	1	1437061	0.482182980741683
1_1437288	1	1437288	0.151266102627066
1_1439581	1	1439581	0.298666740116687
1_1439682	1	1439682	0.534367555741045
1_1439715	1	1439715	0.401729787162926
1_1452367	1	1452367	0.547248059325282
1_1455506	1	1455506	0.430511396132748
1_1455812	1	1455812	0.348852497284903
1_1455828	1	1455828	0.301094498436149
1_1457141	1	1457141	0.49742235256841
1_1457142	1	1457142	0.500370841313659
1_1460831	1	1460831	0.639152327080082
1_1460864	1	1460864	0.610316408974344
1_1468408	1	1468408	0.715555035083472
1_1468434	1	1468434	0.692880304249526
1_1477343	1	1477343	0.0890485835705772
1_1478568	1	1478568	0.465776725951945
1_1485152	1	1485152	0.514572664258045
1_1485808	1	1485808	0.263077983345626
1_1487887	1	1487887	0.448909375697299
1_1489782	1	1489782	0.662642270212536
1_1490287	1	1490287	0.932508709528755
1_1490346	1	1490346	1.16029161013593
1_1490373	1	1490373	1.06345686966784
1_1495604	1	1495604	0.628496425039365
1_1495695	1	1495695	0.445765936709848
1_1495725	1	1495725	0.433696754958023
1_1495783	1	1495783	0.526963787870928
1_1495793	1	1495793	0.584529075404742
1_1512312	1	1512312	0.364155821704946
1_1523889	1	1523889	0.364155821704946
1_1533961	1	1533961	0.480821198174541
1_1535427	1	1535427	0.306876851030155
1_1535428	1	1535428	0.284302514015731
1_1544894	1	1544894	0.681169223566451
1_1599902	1	1599902	0.331554176039698
1_1615755	1	1615755	0.482475788893707
1_1615856	1	1615856	0.453685068237026
1_1615869	1	1615869	0.416560127990647
1_1616572	1	1616572	0.257639471856632
1_1623412	1	1623412	0.347966880932139
1_1623829	1	1623829	0.275599903600299
1_1623847	1	1623847	0.4881445389804
1_1625566	1	1625566	0.599175851369143
1_1627150	1	1627150	0.460588816459838
1_1627322	1	1627322	0.371986644482072
1_1629261	1	1629261	0.751178944814193
1_1630322	1	1630322	0.738239889106695
1_1632438	1	1632438	0.259790559405235
1_1636993	1	1636993	0.705375255201068
1_1637828	1	1637828	0.249298185587592
1_1665856	1	1665856	0.569572138324246
1_1669706	1	1669706	0.617912413950729
1_1704310	1	1704310	0.317525767368003
1_1719368	1	1719368	0.685291009157736
1_1732521	1	1732521	0.751178944814193
1_1752910	1	1752910	0.422556197352823
1_1754628	1	1754628	0.553732880607976
1_1754642	1	1754642	0.553414896246784
1_1757280	1	1757280	0.726087963851363
1_1759105	1	1759105	0.861361862564616
1_1762005	1	1762005	0.464297797026032
1_1815818	1	1815818	0.424368628547085
1_1891375	1	1891375	0.0280191501730175
1_1915326	1	1915326	0.407877199134264
1_1916540	1	1916540	0.824641106755215
1_1916792	1	1916792	0.623022593323511
1_1918513	1	1918513	0.601283514331134
1_1923136	1	1923136	0.328945944131146
1_1923140	1	1923140	0.242567330223152
1_1923904	1	1923904	0.144190137763038
1_1924451	1	1924451	0.342714099458836
1_1926326	1	1926326	0.160941502052363
1_1926457	1	1926457	0.468006893409323
1_1926661	1	1926661	0.656319758472752
1_1926722	1	1926722	0.941862506423303
1_1942086	1	1942086	0.763778981593827
1_1944420	1	1944420	0.151266102627066
1_1956754	1	1956754	0.504538977231068
1_1964940	1	1964940	0.460130162810803
1_1966450	1	1966450	0.270288898240724
1_1966521	1	1966521	-0.0968179617407566
1_1968644	1	1968644	0.290544579095239
1_1968772	1	1968772	0.405534780953023
1_1970690	1	1970690	0.816470405065912
1_1970786	1	1970786	0.705375255201068
1_1972962	1	1972962	0.575021989660366
1_1974028	1	1974028	0.715845871701913
1_1985090	1	1985090	0.290989409142974
1_2023748	1	2023748	0.742355094427187
1_2024324	1	2024324	0.530051490714323
1_2024503	1	2024503	0.270957276775212
1_2024579	1	2024579	0.283030109075787
1_2025598	1	2025598	0.469407976398814
1_2025673	1	2025673	0.506066446977662
1_2029235	1	2029235	0.345186585138357
1_2029675	1	2029675	0.734690822025625
1_2030027	1	2030027	0.481571885056913
1_2056554	1	2056554	0.56934062182838
1_2059575	1	2059575	0.397541990199493
1_2074688	1	2074688	0.26054382664119
1_2169339	1	2169339	0.452837670244447
1_2169401	1	2169401	0.655601284831962
1_2169539	1	2169539	0.648817227184515
1_2169545	1	2169545	0.63975766214577
1_2180521	1	2180521	0.448616174793762
1_2181939	1	2181939	0.483593446749213
1_2182126	1	2182126	0.317762916220495
1_2182337	1	2182337	0.770287767761898
1_2182380	1	2182380	0.693954076121243
1_2182443	1	2182443	0.600687318286743
1_2182461	1	2182461	0.744292559228953
1_2182465	1	2182465	0.703650574731608
1_2190570	1	2190570	0.79848465959255
1_2198019	1	2198019	0.395035134588918
1_2201209	1	2201209	0.437518465910432
1_2229237	1	2229237	0.448616174793762
1_2240778	1	2240778	0.425192633352478
1_2303882	1	2303882	0.298666740116687
1_2303939	1	2303939	0.207557239473937
1_2304552	1	2304552	0.513679631087537
1_2306103	1	2306103	0.401236473757235
1_2321534	1	2321534	0.181813299144056
1_2332683	1	2332683	0.711866020789367
1_2332752	1	2332752	0.640147632425449
1_2358704	1	2358704	0.524903088990517
1_2379143	1	2379143	0.458998193320883
1_2403103	1	2403103	0.425408783632437
1_2405080	1	2405080	0.538185221479995
1_2406784	1	2406784	0.362613656896541
1_2406885	1	2406885	0.267428695451335
1_2408773	1	2408773	0.0581566982355841
1_2412497	1	2412497	0.681276931584037
1_2427689	1	2427689	0.397541990199493
1_2430360	1	2430360	0.64808545185009
1_2430393	1	2430393	0.466611377430758
1_2489840	1	2489840	0.573391825598911
1_2491211	1	2491211	0.66629004722768
1_2494907	1	2494907	0.166216444093037
1_2496979	1	2496979	0.303719967842972
1_2499031	1	2499031	0.362043308978107
1_2499660	1	2499660	0.687048607394478
1_2502162	1	2502162	0.535450253758756
1_2502203	1	2502203	0.605328078350738
1_2502535	1	2502535	0.691236404357911
1_2502732	1	2502732	0.585592879096218
1_2504255	1	2504255	0.612472673982601
1_2504662	1	2504662	0.605748505292629
1_2504832	1	2504832	0.650250035963413
1_2504866	1	2504866	0.552633265432113
1_2520751	1	2520751	0.830130286209015
1_2520882	1	2520882	0.767857685960824
1_2521922	1	2521922	0.555922653415259
1_2526571	1	2526571	0.572841703555681
1_2529533	1	2529533	0.819083009315997
1_2529549	1	2529549	0.767857685960824
1_2529768	1	2529768	0.873169469192804
1_2529825	1	2529825	0.640147632425449
1_2530132	1	2530132	0.452655454261775
1_2556673	1	2556673	0.728926137967066
1_2559170	1	2559170	0.605981029274258
1_2559173	1	2559173	0.718012080878994
1_2559459	1	2559459	0.374324639423237
1_2559483	1	2559483	0.279355419443772
1_2559621	1	2559621	0.771356826751824
1_2559632	1	2559632	0.704181465277024
1_2559902	1	2559902	0.407526078772115
1_2588536	1	2588536	0.393856943391637
1_2591576	1	2591576	0.619075408806848
1_2591973	1	2591973	0.571629524483481
1_2592689	1	2592689	0.375030458928944
1_2593833	1	2593833	0.721225722712566
1_2596033	1	2596033	0.595724426180214
1_2596615	1	2596615	0.476671754536451
1_2606261	1	2606261	0.422114668645202
1_2609829	1	2609829	0.445765936709848
1_2609830	1	2609830	0.403255641393887
1_2644433	1	2644433	0.681169223566451
1_2783654	1	2783654	0.562733855401083
1_2785877	1	2785877	0.349816382432426
1_2787490	1	2787490	-0.103390615664243
1_2789597	1	2789597	0.266943935176323
1_2800342	1	2800342	-0.00781295568201162
1_2800478	1	2800478	0.241814062987196
1_2800484	1	2800484	0.360594489259889
1_2800545	1	2800545	0.330192179204163
1_2800790	1	2800790	0.104059968030468
1_3021701	1	3021701	0.262892463504711
1_3021858	1	3021858	0.429250849926831
1_3021860	1	3021860	0.453793034189623
1_3022005	1	3022005	0.254611560038751
1_3022574	1	3022574	0.612795460658271
1_3186480	1	3186480	0.56170114595048
1_3385157	1	3385157	0.214150921156739
1_3386696	1	3386696	0.569938630144047
1_3396544	1	3396544	0.270207175350573
1_3405509	1	3405509	0.702269344333247
1_3411623	1	3411623	0.510170845310398
1_3411715	1	3411715	0.202558291156757
1_3411881	1	3411881	0.790173076430057
1_3412576	1	3412576	0.277615368928894
1_3412736	1	3412736	0.492260647452631
1_3425743	1	3425743	0.611775888148777
1_3426071	1	3426071	0.423604286785689
1_3426095	1	3426095	0.426216789837198
1_3430956	1	3430956	0.367850305262688
1_3431048	1	3431048	0.558533866871797
1_3432131	1	3432131	0.478160450407777
1_3463266	1	3463266	0.435677119086264
1_3463493	1	3463493	0.412377031362435
1_3469503	1	3469503	0.959287140144394
1_3471739	1	3471739	0.703084656613148
1_3473444	1	3473444	0.224694909358766
1_3477892	1	3477892	0.532833356540447
1_3478424	1	3478424	0.379210167427235
1_3478612	1	3478612	0.843101434255233
1_3479532	1	3479532	0.423884340177016
1_3480485	1	3480485	0.292888247581466
1_3492645	1	3492645	0.538770612050367
1_3492682	1	3492682	0.597633686560738
1_3492708	1	3492708	0.552850228368215
1_3493846	1	3493846	0.599175851369143
1_3494017	1	3494017	0.19430875112239
1_3494371	1	3494371	0.460399548497495
1_3495901	1	3495901	0.367336067138944
1_3495957	1	3495957	0.423374283590162
1_3496003	1	3496003	0.421030343121862
1_3497541	1	3497541	0.736679375119078
1_3499682	1	3499682	0.398877200883312
1_3499709	1	3499709	0.410688398900404
1_3499885	1	3499885	0.595528074353999
1_3501081	1	3501081	0.444517606580141
1_3501198	1	3501198	0.220664228115414
1_3505283	1	3505283	0.272011108115634
1_3505549	1	3505549	0.0406855620091785
1_3508619	1	3508619	0.952812805983844
1_3510787	1	3510787	0.687613816036727
1_3514574	1	3514574	0.582781413118475
1_3514671	1	3514671	0.510170845310398
1_3515498	1	3515498	0.541093418929359
1_3524189	1	3524189	0.47780259475894
1_3547098	1	3547098	0.64292605416217
1_3595444	1	3595444	0.570606699172372
1_3602546	1	3602546	0.605981029274258
1_3631426	1	3631426	0.053207482263851
1_3722203	1	3722203	0.70678482545574
1_3727147	1	3727147	0.360227064059663
1_3752608	1	3752608	0.378452250393314
1_3752637	1	3752637	0.518518188023918
1_3752792	1	3752792	0.259643308061306
1_3755518	1	3755518	0.376499183151491
1_3756820	1	3756820	0.604958203963149
1_3761290	1	3761290	0.691800397735262
1_3761369	1	3761369	0.768666371543034
1_3762639	1	3762639	0.678247422360342
1_3763322	1	3763322	0.616529418119412
1_3763538	1	3763538	0.62719022753874
1_3763769	1	3763769	0.67100859613021
1_3767350	1	3767350	0.466611377430758
1_3769851	1	3769851	0.403255641393887
1_3771308	1	3771308	0.431421948968458
1_3782760	1	3782760	0.480217623208771
1_3786945	1	3786945	0.203167580265929
1_3787134	1	3787134	0.715555035083472
1_3795946	1	3795946	0.743565760704318
1_3815395	1	3815395	0.643196263941182
1_3815444	1	3815444	0.406350447816752
1_3823504	1	3823504	0.961102014188425
1_3829360	1	3829360	0.523768448711121
1_3829920	1	3829920	0.185581768959968
1_3833933	1	3833933	0.402230635993122
1_3835070	1	3835070	0.565312399502859
1_3836504	1	3836504	0.473644969285284
1_3839111	1	3839111	0.347546208807599
1_3839662	1	3839662	0.582051673577934
1_3839755	1	3839755	0.607814769643016
1_3847485	1	3847485	0.366515094578868
1_3851795	1	3851795	0.129690568067923
1_3883554	1	3883554	0.615523845456627
1_3883678	1	3883678	0.368931380653019
1_3889984	1	3889984	0.426216789837198
1_3890824	1	3890824	0.291747326176896
1_3890943	1	3890943	0.669495147220485
1_3891029	1	3891029	0.625648062730334
1_3891765	1	3891765	0.418052643321967
1_4711993	1	4711993	0.371891470484551
1_5863309	1	5863309	0.441850886706464
1_5864423	1	5864423	0.416759905743634
1_5864440	1	5864440	0.375211010213942
1_5866447	1	5866447	0.433002984787939
1_5875036	1	5875036	0.475205483272901
1_5875098	1	5875098	0.568802202325625
1_5877102	1	5877102	0.47780259475894
1_5880206	1	5880206	0.635701727394258
1_5890953	1	5890953	0.538770612050367
1_5904731	1	5904731	0.610697721264363
1_5905324	1	5905324	0.310606353428212
1_5905764	1	5905764	0.629188420435583
1_5909185	1	5909185	0.601602588763683
1_5948118	1	5948118	0.614544252792347
1_5978411	1	5978411	0.291747326176896
1_6073370	1	6073370	0.301013222131748
1_6082248	1	6082248	0.472024873617122
1_6082379	1	6082379	0.861823008498186
1_6085742	1	6085742	0.80562672883657
1_6085837	1	6085837	0.739863631586359
1_6085846	1	6085846	0.729152638484194
1_6085878	1	6085878	0.586119698543697
1_6085974	1	6085974	0.424014201560684
1_6086245	1	6086245	0.710536960316847
1_6088993	1	6088993	0.504264204343676
1_6098502	1	6098502	0.624486939898331
1_6099890	1	6099890	0.318482779038843
1_6099973	1	6099973	0.293072723643463
1_6109928	1	6109928	0.627796529308911
1_6124032	1	6124032	0.707589676266511
1_6125548	1	6125548	0.704955928053548
1_6130155	1	6130155	0.597828167907397
1_6130255	1	6130255	0.855515604628929
1_6136809	1	6136809	0.630163543852827
1_6149303	1	6149303	0.567216109971598
1_6152418	1	6152418	0.770037972065509
1_6152469	1	6152469	0.584529075404742
1_6207418	1	6207418	0.387671746175431
1_6208898	1	6208898	0.771643047373909
1_6208934	1	6208934	0.719117735581895
1_6208961	1	6208961	0.635081879891322
1_6209280	1	6209280	0.597008014686433
1_6210409	1	6210409	0.563808808912472
1_6211065	1	6211065	0.381945135148474
1_6212018	1	6212018	0.644263740897681
1_6212030	1	6212030	0.511044941090478
1_6213147	1	6213147	0.623799638337966
1_6218354	1	6218354	0.540611958874535
1_6225119	1	6225119	0.305114549914725
1_6235898	1	6235898	0.71525937055925
1_6244394	1	6244394	0.558533866871797
1_6245232	1	6245232	0.799852791549883
1_6250433	1	6250433	0.4383915037833
1_6250614	1	6250614	0.201840353823759
1_6254623	1	6254623	0.413309306057809
1_6294955	1	6294955	0.415994753224564
1_6339467	1	6339467	0.751178944814193
1_6349836	1	6349836	0.511991280934767
1_6425205	1	6425205	0.186394326030667
1_6440652	1	6440652	0.415758613598717
1_6441049	1	6441049	0.203053212273409
1_6445735	1	6445735	0.0560335263426143
1_6447451	1	6447451	0.455723061288022
1_6448769	1	6448769	0.706936106852711
1_6448885	1	6448885	0.614126192835115
1_6449070	1	6449070	0.503741394031418
1_6452055	1	6452055	0.699779792307549
1_6454481	1	6454481	0.707056391581885
1_6461443	1	6461443	0.355250268483054
1_6462158	1	6462158	0.4881445389804
1_6462984	1	6462984	0.52734598911853
1_6463050	1	6463050	0.424735368804338
1_6464643	1	6464643	0.855975134825803
1_6468242	1	6468242	0.498060007845482
1_6468255	1	6468255	0.671744477319788
1_6468378	1	6468378	0.304922714924629
1_6468505	1	6468505	0.404621183418116
1_6469128	1	6469128	0.370492950326127
1_6469143	1	6469143	0.436082883409256
1_6473275	1	6473275	0.579226262024898
1_6473333	1	6473333	0.790278764503134
1_6474072	1	6474072	0.500528263436232
1_6474109	1	6474109	0.419102894550748
1_6474583	1	6474583	0.584359854239702
1_6475089	1	6475089	0.634534025961923
1_6475992	1	6475992	0.347637084373179
1_6476016	1	6476016	0.469143577050343
1_6506029	1	6506029	1.11575137711005
1_6506064	1	6506064	0.849026268212338
1_6506148	1	6506148	1.14022123556009
1_6550472	1	6550472	0.332161594622804
1_6554475	1	6554475	0.635701727394258
1_6555384	1	6555384	0.848476146169108
1_6555409	1	6555409	0.751178944814193
1_6571046	1	6571046	0.43129867857569
1_6571204	1	6571204	0.471071025621458
1_6574642	1	6574642	0.650250035963413
1_6575249	1	6575249	0.730117329286364
1_6578719	1	6578719	0.680295458657684
1_6579332	1	6579332	0.127045846812359
1_6579376	1	6579376	0.410838812812951
1_6581000	1	6581000	0.543374059700792
1_6593421	1	6593421	0.468591741558999
1_6633012	1	6633012	0.877556230583749
1_6633037	1	6633037	0.680789616922795
1_6634039	1	6634039	0.332521129856653
1_6634059	1	6634059	0.275599903600299
1_6635690	1	6635690	0.751178944814193
1_6636172	1	6636172	0.144020697978841
1_6638330	1	6638330	0.729592082606047
1_6644575	1	6644575	0.310052216666689
1_6645814	1	6645814	-0.0538050727806639
1_6645884	1	6645884	0.369308309470549
1_6651086	1	6651086	0.539674839620481
1_6825174	1	6825174	0.522153431145298
1_7370160	1	7370160	0.406962782725046
1_7370205	1	7370205	0.514478686793862
1_7621940	1	7621940	0.461672327619208
1_7663474	1	7663474	0.617042272162657
1_7663528	1	7663528	0.68775356467256
1_7664502	1	7664502	0.672704886791109
1_7664637	1	7664637	0.722032599154677
1_7664737	1	7664737	0.491535128181174
1_7670988	1	7670988	0.33614144553535
1_7732460	1	7732460	0.589715522120077
1_7737485	1	7737485	0.715555035083472
1_7738425	1	7738425	-0.127805654224441
1_7778168	1	7778168	0.397236042782189
1_7809988	1	7809988	0.597555755700982
1_7810546	1	7810546	0.60478945783267
1_7819317	1	7819317	0.357264737101103
1_7826538	1	7826538	0.587680212531314
1_7826690	1	7826690	0.693954076121243
1_7827439	1	7827439	0.571472922579295
1_7827501	1	7827501	0.597769030154898
1_7827519	1	7827519	0.548015994957798
1_7827709	1	7827709	0.517688814594415
1_7829881	1	7829881	0.528786523477745
1_7829887	1	7829887	0.47761387148823
1_7829993	1	7829993	0.411692478542526
1_7830004	1	7830004	0.330041245998932
1_7830049	1	7830049	0.437586709094895
1_7842655	1	7842655	0.666786757523821
1_7842676	1	7842676	0.697023174767288
1_7846697	1	7846697	1.0433596963075
1_7852915	1	7852915	0.445370515290108
1_7852944	1	7852944	0.4881445389804
1_7935030	1	7935030	0.229542379461866
1_7939911	1	7939911	0.68736384721675
1_8013850	1	8013850	0.282625936208348
1_8013869	1	8013869	0.288047157334304
1_8013883	1	8013883	0.394022361615849
1_8014274	1	8014274	0.751178944814193
1_8330435	1	8330435	0.656182430878446
1_8330720	1	8330720	0.718998539065044
1_8330828	1	8330828	0.705375255201068
1_8335614	1	8335614	0.500635483163596
1_8339614	1	8339614	0.431561010614032
1_8343775	1	8343775	0.195963787487089
1_8343908	1	8343908	0.675451618650948
1_8355558	1	8355558	0.17860016854887
1_8358650	1	8358650	0.589122186705221
1_8358860	1	8358860	0.312490177470704
1_8359794	1	8359794	0.823128786693208
1_8360375	1	8360375	0.562733855401083
1_8360443	1	8360443	0.949118322426102
1_8360492	1	8360492	0.871473178531905
1_8360503	1	8360503	1.0991022482345
1_8360612	1	8360612	0.464874759657552
1_8361083	1	8361083	0.500217371280975
1_8361126	1	8361126	0.253059704040794
1_8624343	1	8624343	0.633821994176035
1_8656247	1	8656247	0.965303750167041
1_8861360	1	8861360	0.431000631876791
1_8949303	1	8949303	0.650874039018508
1_8949347	1	8949347	0.708110222922307
1_8949355	1	8949355	0.687048607394478
1_8949393	1	8949393	0.961396652204539
1_8951527	1	8951527	0.973571366150641
1_8974362	1	8974362	0.499306645267699
1_9007318	1	9007318	0.0764197737423912
1_9007358	1	9007358	0.308235448965465
1_9014735	1	9014735	0.466725555345494
1_9014802	1	9014802	0.159818672894887
1_9014814	1	9014814	0.0908713191773949
1_9014831	1	9014831	0.123147722201151
1_9038482	1	9038482	0.507253361928104
1_9039892	1	9039892	0.538185221479995
1_9041924	1	9041924	0.514139747513344
1_9057537	1	9057537	0.307572293338579
1_9058188	1	9058188	0.536440096021181
1_9104515	1	9104515	0.503961244443174
1_9104577	1	9104577	0.247746329589635
1_9105626	1	9105626	0.527138670596263
1_9242965	1	9242965	0.324168803869273
1_9245189	1	9245189	0.531612567556509
1_9245334	1	9245334	0.236605771984435
