	Chromosome	Position	63RT3_CM-_vs_63RT3_PBMC.tumour
1_1014217	1	1014217	-0.945870179231921
1_1014228	1	1014228	-1.01109825239942
1_1020239	1	1020239	-0.383286334345724
1_1022260	1	1022260	-0.362527774178927
1_1041183	1	1041183	-0.92956836690282
1_1041249	1	1041249	-0.845504102114346
1_1041648	1	1041648	-0.522943107440177
1_1043354	1	1043354	-0.963515698826158
1_1043839	1	1043839	-0.753718531503403
1_1045393	1	1045393	-0.781045842192732
1_1045965	1	1045965	-0.911421020192561
1_1046551	1	1046551	-0.853619513669522
1_1046845	1	1046845	-1.01703120815316
1_1046854	1	1046854	-1.06707189065276
1_1047403	1	1047403	-0.680889254046097
1_1047626	1	1047626	-0.822653162986309
1_1048126	1	1048126	-0.814091149482885
1_1048900	1	1048900	-1.10465507346091
1_1049046	1	1049046	-1.30153714428978
1_1049746	1	1049746	-0.92956836690282
1_1049791	1	1049791	-0.733302973281727
1_1050785	1	1050785	-0.77999201085231
1_1051538	1	1051538	-0.77756527345777
1_1052014	1	1052014	-0.759643365460508
1_1053768	1	1053768	-1.57593141228812
1_1053827	1	1053827	-1.42706802637364
1_1053840	1	1053840	-1.38899998554012
1_1053915	1	1053915	-1.10359776667787
1_1053933	1	1053933	-0.967043072321483
1_1054917	1	1054917	-0.800835052780618
1_1055393	1	1055393	-1.10203556290759
1_1069443	1	1069443	-0.988462055956389
1_1069566	1	1069566	-0.683658138860236
1_1069577	1	1069577	-0.756731770040605
1_1071916	1	1071916	-0.917886561855185
1_1072052	1	1072052	-0.852947085299908
1_1072237	1	1072237	-0.826998633262273
1_1072454	1	1072454	-0.219074984097805
1_1083934	1	1083934	-1.33674374840869
1_1084003	1	1084003	-1.25149646179018
1_1087154	1	1087154	-1.17532478130478
1_1087155	1	1087155	-1.21714495699941
1_1091167	1	1091167	-0.69312817108074
1_1091290	1	1091290	-0.709442552538317
1_1091576	1	1091576	-0.432068707432003
1_1180168	1	1180168	-1.32348257461591
1_1180802	1	1180802	-0.720115001273871
1_1185041	1	1185041	-0.326903864448205
1_1185051	1	1185051	-0.388999985540118
1_1185123	1	1185123	-0.480583535700639
1_1188877	1	1188877	-0.788392303942126
1_1194632	1	1194632	-0.708969227389423
1_1196705	1	1196705	-1.18438226593165
1_1197558	1	1197558	-1.06974602495108
1_1197586	1	1197586	-0.999957694794218
1_1197745	1	1197745	-0.948677189850525
1_1203822	1	1203822	-0.658266345085426
1_1203836	1	1203836	-0.72793450573317
1_1203871	1	1203871	-0.463000566983894
1_1204015	1	1204015	-0.688560267399025
1_1204185	1	1204185	-0.531018990412546
1_1206396	1	1206396	-0.451989401555264
1_1211585	1	1211585	-0.62346523917714
1_1211644	1	1211644	-0.615459776474757
1_1212898	1	1212898	-0.31371185823588
1_1213249	1	1213249	-0.74670430975301
1_1213734	1	1213734	-0.886499645010934
1_1214100	1	1214100	-0.784137927381257
1_1217629	1	1217629	-0.9977398695444
1_1218703	1	1218703	-0.671035353303967
1_1218967	1	1218967	-1.30302676243026
1_1228651	1	1228651	-0.647797398487441
1_1228685	1	1228685	-0.848431604177415
1_1232416	1	1232416	-0.0450455843227562
1_1232800	1	1232800	-0.799507826338447
1_1242506	1	1242506	-0.523576007226983
1_1242516	1	1242516	-0.454230357356163
1_1242601	1	1242601	-0.429641970037464
1_1242864	1	1242864	-0.587462390077828
1_1242871	1	1242871	-0.5648040741052
1_1242875	1	1242875	-0.607640272015458
1_1242886	1	1242886	-0.544904516667495
1_1243468	1	1243468	-0.666533961069027
1_1244420	1	1244420	-0.457499922587598
1_1246651	1	1246651	-0.790862096071228
1_1255392	1	1255392	-0.497852126477346
1_1262318	1	1262318	-0.850958532206454
1_1266173	1	1266173	-0.636521392002587
1_1266225	1	1266225	-0.677381343306019
1_1284021	1	1284021	-0.804037484818961
1_1285442	1	1285442	-0.972637088794706
1_1285529	1	1285529	-0.698955438761404
1_1285594	1	1285594	-0.853619513669522
1_1286150	1	1286150	-0.915893430005744
1_1286952	1	1286952	-0.881739841812205
1_1287578	1	1287578	-0.612378191022121
1_1287983	1	1287983	-0.368452608136032
1_1288005	1	1288005	-0.429997357412309
1_1290683	1	1290683	-1.43858201439068
1_1290687	1	1290687	-1.43858201439068
1_1291289	1	1291289	-0.92956836690282
1_1291310	1	1291310	-0.773449164985538
1_1291396	1	1291396	-1.19635490759772
1_1294498	1	1294498	-1.13815498871424
1_1296589	1	1296589	0.0277872956886861
1_1309258	1	1309258	-1.12511917602063
1_1310642	1	1310642	-1.03919285807732
1_1310993	1	1310993	-0.439763099222004
1_1311058	1	1311058	-0.360202721232683
1_1311467	1	1311467	-1.07640975523209
1_1311527	1	1311527	-1.04504558432276
1_1311620	1	1311620	-0.894802948742144
1_1312114	1	1312114	-1.34460586618166
1_1313527	1	1313527	0.396201794278936
1_1313807	1	1313807	0.221211585272788
1_1315577	1	1315577	-0.207102342431729
1_1319056	1	1319056	0.198187180295552
1_1319063	1	1319063	0.243496342070059
1_1327457	1	1327457	0.242043011167379
1_1327560	1	1327560	0.12387089205864
1_1327577	1	1327577	0.163541037488661
1_1327705	1	1327705	0.127764808163131
1_1331666	1	1331666	0.177346837013691
1_1332116	1	1332116	0.429512726402008
1_1332124	1	1332124	0.516833303285359
1_1332226	1	1332226	-0.0628348977662846
1_1332271	1	1332271	0.135282777447147
1_1332677	1	1332677	0.165068507235255
1_1333466	1	1333466	0.100178976491232
1_1334123	1	1334123	0.437213963768802
1_1334174	1	1334174	0.129325322150748
1_1334422	1	1334422	0.609590444205211
1_1336134	1	1336134	0.0704316330971797
1_1336134.1	1	1336134	0.0704316330971797
1_1336256	1	1336256	0.323197703477146
1_1336473	1	1336473	0.561417985609322
1_1338022	1	1338022	0.20940804624599
1_1339592	1	1339592	4.23052057816219e-05
1_1340503	1	1340503	0.161579521155375
1_1342153	1	1342153	0.142581418853015
1_1353897	1	1353897	0.101795804006515
1_1354066	1	1354066	0.11575562360667
1_1355028	1	1355028	-0.0638694586144115
1_1387355	1	1387355	0.0273629112052936
1_1393431	1	1393431	0.0242614516642536
1_1399095	1	1399095	0.182541999418717
1_1405744	1	1405744	-0.0410766821198107
1_1405858	1	1405858	0.285170481890192
1_1419135	1	1419135	-0.195462426875855
1_1419136	1	1419136	-0.159050213025588
1_1419158	1	1419158	-0.21618959305423
1_1419399	1	1419399	0.0821134381448147
1_1419540	1	1419540	0.232703061996057
1_1420066	1	1420066	0.533403609439725
1_1420173	1	1420173	0.436303075572139
1_1420283	1	1420283	0.450279703913723
1_1420931	1	1420931	-0.0566802848061597
1_1426164	1	1426164	0.365887516623351
1_1426253	1	1426253	0.0984460092667761
1_1426316	1	1426316	-0.0511303467837337
1_1426353	1	1426353	-0.101749342285501
1_1434873	1	1434873	0.306498991330704
1_1434897	1	1434897	0.223906113758898
1_1434899	1	1434899	0.284556438450027
1_1436888	1	1436888	0.366563727107205
1_1436889	1	1436889	0.39973925835014
1_1437061	1	1437061	0.159698971194267
1_1437288	1	1437288	0.320409886105527
1_1439581	1	1439581	0.248218752312462
1_1439682	1	1439682	0.497852856831856
1_1439715	1	1439715	0.444827147878677
1_1452367	1	1452367	0.243071019236528
1_1455506	1	1455506	0.0929742017482679
1_1455812	1	1455812	0.190170877371275
1_1455828	1	1455828	0.145070433989936
1_1457141	1	1457141	0.331083387619979
1_1457142	1	1457142	0.331083387619979
1_1460831	1	1460831	-0.0281322013864099
1_1460864	1	1460864	0.131185664176276
1_1468408	1	1468408	0.128147130953467
1_1468434	1	1468434	0.170833530055017
1_1477343	1	1477343	-0.0805102649775598
1_1478568	1	1478568	0.230088299085665
1_1485152	1	1485152	0.217273021426451
1_1485808	1	1485808	-0.107660689216531
1_1487887	1	1487887	0.197343745579399
1_1489782	1	1489782	0.309897567792569
1_1490287	1	1490287	-0.0771255553166781
1_1490346	1	1490346	0.143680615127818
1_1490373	1	1490373	0.117737347875536
1_1495604	1	1495604	-0.176661228867593
1_1495695	1	1495695	0.217988821511038
1_1495725	1	1495725	0.22243472654223
1_1495783	1	1495783	0.341733654914574
1_1495793	1	1495793	0.403855366822372
1_1512312	1	1512312	0.157894474347519
1_1523889	1	1523889	0.353738433957235
1_1533961	1	1533961	0.182906362355592
1_1535427	1	1535427	0.279378523368676
1_1535428	1	1535428	0.263076711039576
1_1544894	1	1544894	0.413915871350989
1_1599902	1	1599902	0.136520823554952
1_1615755	1	1615755	0.0322123108666893
1_1615856	1	1615856	0.0297896485998336
1_1615869	1	1615869	-0.13902173253177
1_1616572	1	1616572	0.133857013238813
1_1623412	1	1623412	-0.251496461790183
1_1623829	1	1623829	0.245518339655271
1_1623847	1	1623847	0.133625459584373
1_1625566	1	1625566	0.549085231671995
1_1627150	1	1627150	0.271128983334309
1_1627322	1	1627322	0.264809678264031
1_1629261	1	1629261	0.314357215983269
1_1630322	1	1630322	0.307470830398029
1_1632438	1	1632438	0.190725866814891
1_1636993	1	1636993	0.183199563259129
1_1637828	1	1637828	-0.0939551848037027
1_1665856	1	1665856	0.438163417597667
1_1669706	1	1669706	-0.273522768120182
1_1704310	1	1704310	0.33602174383473
1_1719368	1	1719368	0.245873639507058
1_1732521	1	1732521	-0.0308517027400021
1_1752910	1	1752910	0.5202345505367
1_1754628	1	1754628	0.371812350580456
1_1754642	1	1754642	0.454772335153107
1_1757280	1	1757280	0.226550835014462
1_1759105	1	1759105	0.592852667749623
1_1762005	1	1762005	0.226550835014462
1_1815818	1	1815818	-0.0170312081531597
1_1891375	1	1891375	-0.38524785067901
1_1915326	1	1915326	0.223782410003976
1_1916540	1	1916540	-0.0139605541931927
1_1916792	1	1916792	0.0704316330971797
1_1918513	1	1918513	0.30687182891926
1_1923136	1	1923136	0.0950936873314487
1_1923140	1	1923140	0.198187180295552
1_1923904	1	1923904	0.215629548637115
1_1924451	1	1924451	0.187471054287399
1_1926326	1	1926326	0.0704316330971797
1_1926457	1	1926457	0.0704316330971797
1_1926661	1	1926661	0.0387227733698415
1_1926722	1	1926722	-0.0236905442673705
1_1942086	1	1942086	0.330075449730199
1_1944420	1	1944420	0.587490069316532
1_1956754	1	1956754	0.177346837013691
1_1964940	1	1964940	0.13055262553475
1_1966450	1	1966450	0.312632535513808
1_1966521	1	1966521	0.140820960988578
1_1968644	1	1968644	0.240356634539492
1_1968772	1	1968772	-0.197764477852393
1_1970690	1	1970690	0.234818450998062
1_1970786	1	1970786	0.0942783750515474
1_1972962	1	1972962	0.532011718313054
1_1974028	1	1974028	0.280998619036838
1_1985090	1	1985090	0.368336498778026
1_2023748	1	2023748	0.038010155404802
1_2024324	1	2024324	0.147737359264628
1_2024503	1	2024503	-0.128877175126227
1_2024579	1	2024579	0.0860284881481983
1_2025598	1	2025598	0.249137520081702
1_2025673	1	2025673	0.285699620000246
1_2029235	1	2029235	0.0562177738774788
1_2029675	1	2029675	0.421904003598558
1_2030027	1	2030027	-0.129505937411572
1_2056554	1	2056554	-0.0378212575548438
1_2059575	1	2059575	-0.00453042458404251
1_2074688	1	2074688	0.635216251880706
1_2169339	1	2169339	0.298237550619992
1_2169401	1	2169401	0.292824054433628
1_2169539	1	2169539	0.319459180937094
1_2169545	1	2169545	0.361894447257491
1_2180521	1	2180521	0.0132877259935708
1_2181939	1	2181939	0.29447190731511
1_2182126	1	2182126	0.0704316330971797
1_2182337	1	2182337	-0.357902688795122
1_2182380	1	2182380	-0.245595860350498
1_2182443	1	2182443	0.0704316330971797
1_2182461	1	2182461	-0.188101380501673
1_2182465	1	2182465	-0.199328635924928
1_2190570	1	2190570	0.0704316330971797
1_2198019	1	2198019	0.0203909505975842
1_2201209	1	2201209	0.0343623783896579
1_2229237	1	2229237	0.446994984561388
1_2240778	1	2240778	0.380116132229795
1_2303882	1	2303882	0.0469726602731907
1_2303882.1	1	2303882	0.0469726602731907
1_2303939	1	2303939	0.169967306648094
1_2304552	1	2304552	0.339618265912568
1_2304552.1	1	2304552	0.339618265912568
1_2306103	1	2306103	-0.0573239141011931
1_2321534	1	2321534	0.303921763316958
1_2332683	1	2332683	0.279018254908597
1_2332752	1	2332752	0.0487365619978604
1_2358704	1	2358704	0.600946349795959
1_2379143	1	2379143	0.154089562144089
1_2403103	1	2403103	-0.0335914314460488
1_2405080	1	2405080	0.427983637715263
1_2405080.1	1	2405080	0.427983637715263
1_2405080.2	1	2405080	0.427983637715263
1_2405080.3	1	2405080	0.427983637715263
1_2406784	1	2406784	0.458702222813238
1_2406885	1	2406885	0.711350539792351
1_2408773	1	2408773	0.442400410484138
1_2412497	1	2412497	0.25329569024699
1_2427689	1	2427689	0.320754987181419
1_2430360	1	2430360	-0.0652234662603867
1_2430393	1	2430393	0.385304970450591
1_2489840	1	2489840	0.194420350372633
1_2491211	1	2491211	0.379381873986332
1_2494907	1	2494907	0.0959667252043172
1_2496979	1	2496979	0.318359146540765
1_2499031	1	2499031	-0.0019192111275044
1_2499660	1	2499660	0.435428449876428
1_2502162	1	2502162	0.401076945085651
1_2502203	1	2502203	0.202535169104525
1_2502535	1	2502535	0.0533581197382382
1_2502732	1	2502732	0.333466038930973
1_2504255	1	2504255	0.118525921298225
1_2504662	1	2504662	0.0704316330971797
1_2504832	1	2504832	0.333466038930973
1_2504866	1	2504866	0.17136054194796
1_2520751	1	2520751	0.415928199122946
1_2520882	1	2520882	0.340883510493456
1_2521922	1	2521922	0.210156396763793
1_2526571	1	2526571	0.52790439869642
1_2529533	1	2529533	0.655394133818336
1_2529549	1	2529549	0.585004805926938
1_2529768	1	2529768	0.433001712481888
1_2529825	1	2529825	0.469527588507002
1_2530132	1	2530132	0.18085562279083
1_2556673	1	2556673	0.377409386518571
1_2559170	1	2559170	0.148434145098453
1_2559173	1	2559173	0.145719760401417
1_2559459	1	2559459	0.563471644377297
1_2559483	1	2559483	0.317071600680305
1_2559621	1	2559621	0.248218752312462
1_2559632	1	2559632	0.265982442214987
1_2559902	1	2559902	-0.423382979565781
1_2588536	1	2588536	-0.0110982523994187
1_2591576	1	2591576	0.388401714415859
1_2591973	1	2591973	0.717760014778709
1_2592689	1	2592689	-0.0550992489866794
1_2593833	1	2593833	-0.0815714603478703
1_2596033	1	2596033	0.398757499182693
1_2596615	1	2596615	0.0429508966750726
1_2606261	1	2606261	0.11528586888144
1_2609829	1	2609829	0.187471054287399
1_2609830	1	2609830	0.172793350726857
1_2644433	1	2644433	0.185908850517115
1_2783654	1	2783654	0.145199401499152
1_2785877	1	2785877	0.329165901497348
1_2787490	1	2787490	0.224759779488473
1_2789597	1	2789597	0.226550835014462
1_2800342	1	2800342	0.0499675305374641
1_2800478	1	2800478	0.350539552289915
1_2800484	1	2800484	0.251003878739001
1_2800545	1	2800545	-0.031447980922034
1_2800790	1	2800790	0.427983637715263
1_3021701	1	3021701	0.00769587774921692
1_3021858	1	3021858	-0.281870110833702
1_3021860	1	3021860	-0.290450096134759
1_3022005	1	3022005	0.295305043937383
1_3022574	1	3022574	0.519416464299361
1_3186480	1	3186480	0.289744661501656
1_3186480.1	1	3186480	0.289744661501656
1_3385157	1	3385157	0.514038284572794
1_3386696	1	3386696	0.359938250292165
1_3396544	1	3396544	0.533832153937423
1_3405509	1	3405509	0.0704316330971797
1_3411623	1	3411623	0.425526591919741
1_3411715	1	3411715	0.433001712481888
1_3411881	1	3411881	0.205081159791961
1_3412576	1	3412576	0.017964213203044
1_3412736	1	3412736	-0.0268655682577352
1_3425743	1	3425743	0.42310325141565
1_3426071	1	3426071	0.396932457774366
1_3426095	1	3426095	0.303921763316958
1_3430956	1	3430956	0.392359727984542
1_3431048	1	3431048	0.29082170152248
1_3432131	1	3432131	0.292824054433628
1_3463266	1	3463266	0.324188225342963
1_3463493	1	3463493	0.203186841948951
1_3469503	1	3469503	-0.219074984097805
1_3471739	1	3471739	0.325688688339254
1_3473444	1	3473444	0.392359727984542
1_3477892	1	3477892	-0.177495880346406
1_3478424	1	3478424	0.0189013324570977
1_3478612	1	3478612	-0.0508746631249539
1_3479532	1	3479532	-0.070924216148362
1_3480485	1	3480485	0.549085231671995
1_3492645	1	3492645	0.450279703913723
1_3492682	1	3492682	0.503941792447502
1_3492708	1	3492708	0.221110545594848
1_3493846	1	3493846	-0.172424890798984
1_3494017	1	3494017	-0.00757087890409352
1_3494371	1	3494371	-0.0771255553166781
1_3495901	1	3495901	-0.00433613530479263
1_3495957	1	3495957	0.146782519227294
1_3496003	1	3496003	0.0303541937218445
1_3497541	1	3497541	0.412351203172008
1_3499682	1	3499682	0.111851560477161
1_3499709	1	3499709	0.279884998726129
1_3499885	1	3499885	0.179660702851938
1_3501081	1	3501081	0.267123544102277
1_3501198	1	3501198	0.26470045351924
1_3505283	1	3505283	0.307470830398029
1_3505549	1	3505549	0.125926745688883
1_3508619	1	3508619	0.252269956082992
1_3510787	1	3510787	-0.11177169812357
1_3514574	1	3514574	0.243268229959395
1_3514671	1	3514671	0.144432214540956
1_3515498	1	3515498	0.420374104154139
1_3524189	1	3524189	0.701787039302787
1_3547098	1	3547098	-0.0731592205316703
1_3595444	1	3595444	0.0921267041964987
1_3602546	1	3602546	0.418354936517487
1_3631426	1	3631426	-0.0842909617014624
1_3722203	1	3722203	0.136019974724756
1_3727147	1	3727147	0.509963694296772
1_3752608	1	3752608	0.535554363812333
1_3752637	1	3752637	0.335892776325514
1_3752792	1	3752792	0.273248516096867
1_3755518	1	3755518	0.155823124327824
1_3756820	1	3756820	0.0260375137387261
1_3761290	1	3761290	0.0704316330971797
1_3761369	1	3761369	0.271344327023176
1_3762639	1	3762639	0.0496730729303824
1_3763322	1	3763322	-0.16660756420367
1_3763538	1	3763538	0.410507074694802
1_3763769	1	3763769	0.565196324846758
1_3767350	1	3767350	-0.00263182909254369
1_3769851	1	3769851	0.122426270735441
1_3771308	1	3771308	0.160068845581856
1_3782760	1	3782760	0.127764808163131
1_3786945	1	3786945	-0.158387057398701
1_3787134	1	3787134	0.437640607285408
1_3795946	1	3795946	0.273965027182312
1_3815395	1	3815395	0.581393552374559
1_3815444	1	3815444	0.573864248321737
1_3823504	1	3823504	0.500576024766232
1_3829360	1	3829360	0.207935156847115
1_3829920	1	3829920	0.32249492110997
1_3833933	1	3833933	0.22243472654223
1_3835070	1	3835070	0.337911943962166
1_3836504	1	3836504	0.180056124271678
1_3839111	1	3839111	0.0198055600272118
1_3839662	1	3839662	0.273645952749763
1_3839755	1	3839755	0.0704316330971797
1_3847485	1	3847485	0.481500230173078
1_3851795	1	3851795	0.169967306648094
1_3883554	1	3883554	0.0597843888976711
1_3883678	1	3883678	0.207935156847115
1_3889984	1	3889984	0.106055542827901
1_3890824	1	3890824	0.0704316330971797
1_3890943	1	3890943	0.298383579775528
1_3891029	1	3891029	0.163541037488661
1_3891765	1	3891765	0.513561439405376
1_4711993	1	4711993	-0.0784317528173031
1_5863309	1	5863309	0.092799446125634
1_5864423	1	5864423	0.135526661319065
1_5864440	1	5864440	0.134561970516895
1_5866447	1	5866447	0.263076711039576
1_5875036	1	5875036	0.354734655684625
1_5875098	1	5875098	0.437213963768802
1_5877102	1	5877102	0.333466038930973
1_5877102.1	1	5877102	0.333466038930973
1_5880206	1	5880206	0.206636016695491
1_5890953	1	5890953	-0.0378212575548438
1_5904731	1	5904731	-0.176483107373337
1_5905324	1	5905324	0.341733654914574
1_5905324.1	1	5905324	0.341733654914574
1_5905764	1	5905764	0.365438428669253
1_5909185	1	5909185	0.31516522218803
1_5909185.1	1	5909185	0.31516522218803
1_5948118	1	5948118	0.431021348353647
1_5978411	1	5978411	0.252269956082992
1_5978411.1	1	5978411	0.252269956082992
1_6073370	1	6073370	0.320045523168652
1_6082248	1	6082248	0.250252670681992
1_6082379	1	6082379	0.433001712481888
1_6085742	1	6085742	-0.229128648761728
1_6085837	1	6085837	-0.0878304508195528
1_6085846	1	6085846	-0.00757087890409352
1_6085878	1	6085878	0.0334374256149779
1_6085974	1	6085974	-0.0414612469737176
1_6086245	1	6086245	0.243763235982741
1_6088993	1	6088993	-0.0170312081531597
1_6098502	1	6098502	0.740283031404849
1_6099890	1	6099890	0.445643151882835
1_6099973	1	6099973	0.206636016695491
1_6109928	1	6109928	0.336946607665935
1_6124032	1	6124032	-0.154441777743023
1_6125548	1	6125548	0.0167936694951065
1_6130155	1	6130155	0.216036955344079
1_6130255	1	6130255	-0.240608145647447
1_6136809	1	6136809	0.238703115686978
1_6149303	1	6149303	-0.146799083123489
1_6152418	1	6152418	0.0704316330971797
1_6152469	1	6152469	0.109250881987708
1_6207418	1	6207418	0.541737352022769
1_6208898	1	6208898	0.36416283615389
1_6208934	1	6208934	0.400137078576261
1_6208961	1	6208961	0.324188225342963
1_6209280	1	6209280	0.238159078835246
1_6210409	1	6210409	0.151961518593778
1_6211065	1	6211065	-0.00232470933813468
1_6212018	1	6212018	0.0704316330971797
1_6212030	1	6212030	0.131832177761323
1_6213147	1	6213147	0.194420350372633
1_6218354	1	6218354	0.292824054433628
1_6225119	1	6225119	0.04937001756935
1_6235898	1	6235898	0.256844757328061
1_6244394	1	6244394	0.0334374256149779
1_6245232	1	6245232	0.0453406521343492
1_6250433	1	6250433	0.438819039077202
1_6250614	1	6250614	-1.25149646179018
1_6254623	1	6254623	-0.00356894834659728
1_6294955	1	6294955	0.419765885325194
1_6339467	1	6339467	0.266351843072437
1_6349836	1	6349836	0.189730561469524
1_6425205	1	6425205	0.537212707470022
1_6440652	1	6440652	0.161197097020362
1_6441049	1	6441049	-0.0351785548634192
1_6445735	1	6445735	-0.30807999015655
1_6447451	1	6447451	-0.140135352842479
1_6448769	1	6448769	0.175784633243408
1_6448885	1	6448885	0.148965035643869
1_6449070	1	6449070	0.42406858771188
1_6452055	1	6452055	0.22693611877717
1_6454481	1	6454481	-0.0614800424084014
1_6461443	1	6461443	0.338920469023082
1_6462158	1	6462158	0.0309032689105423
1_6462984	1	6462984	0.137938452455456
1_6463050	1	6463050	0.233930365380059
1_6464643	1	6464643	-0.185908120162606
1_6468242	1	6468242	0.289998010354864
1_6468255	1	6468255	0.34003869285446
1_6468378	1	6468378	0.385304970450591
1_6468505	1	6468505	0.720685594070055
1_6469128	1	6469128	0.18882633389941
1_6469143	1	6469143	0.184387822394265
1_6473275	1	6473275	0.38358951835681
1_6473275.1	1	6473275	0.38358951835681
1_6473333	1	6473333	0.327589472594304
1_6474072	1	6474072	0.263076711039576
1_6474109	1	6474109	0.0855385254873879
1_6474583	1	6474583	0.0856983897504901
1_6475089	1	6475089	0.340191902119287
1_6475089.1	1	6475089	0.340191902119287
1_6475992	1	6475992	0.633860972268695
1_6476016	1	6476016	0.714287822871904
1_6506029	1	6506029	-0.0697460249510806
1_6506064	1	6506064	0.0946791793438569
1_6506148	1	6506148	0.467767130642565
1_6550472	1	6550472	0.223906113758898
1_6554475	1	6554475	0.144432214540956
1_6555384	1	6555384	-0.391911580960021
1_6555409	1	6555409	-0.159050213025588
1_6571046	1	6571046	0.229129379116238
1_6571204	1	6571204	0.0704316330971797
1_6574642	1	6574642	0.29925032359306
1_6575249	1	6575249	0.346949268294595
1_6578719	1	6578719	0.323550570065891
1_6579332	1	6579332	-0.184825422144895
1_6579376	1	6579376	-0.195848432240268
1_6581000	1	6581000	0.0964268416301239
1_6593421	1	6593421	0.168995467580769
1_6633012	1	6633012	0.0890473112645266
1_6633037	1	6633037	0.260256191977197
1_6634039	1	6634039	0.259909431960892
1_6634059	1	6634059	0.255786675109098
1_6635690	1	6635690	0.381471411841806
1_6636172	1	6636172	0.057831596317546
1_6638330	1	6638330	0.499274931901054
1_6644575	1	6644575	0.229909847104376
1_6645814	1	6645814	1.05532474070697
1_6645884	1	6645884	0.648791398994089
1_6651086	1	6651086	-0.0424624233087539
1_6825174	1	6825174	0.155949704283237
1_7370160	1	7370160	0.514038284572794
1_7370205	1	7370205	0.42310325141565
1_7621940	1	7621940	0.11697421903421
1_7663474	1	7663474	0.199015839158592
1_7663528	1	7663528	-0.172839517915184
1_7664502	1	7664502	0.444827147878677
1_7664637	1	7664637	0.240356634539492
1_7664737	1	7664737	0.176226297119776
1_7670988	1	7670988	0.499824425353093
1_7732460	1	7732460	-0.000827050072642279
1_7737485	1	7737485	0.00434244263940731
1_7738425	1	7738425	0.317346373567697
1_7778168	1	7778168	0.346066075710607
1_7809988	1	7809988	0.473396300075449
1_7810546	1	7810546	0.267232340530887
1_7819317	1	7819317	0.0704316330971797
1_7826538	1	7826538	0.0159838490748031
1_7826690	1	7826690	0.215481965900463
1_7827439	1	7827439	0.376762872933523
1_7827501	1	7827501	0.678663913141183
1_7827519	1	7827519	0.515842781419542
1_7827709	1	7827709	0.39905438055855
1_7829881	1	7829881	0.184991397360035
1_7829887	1	7829887	0.0593764445881839
1_7829993	1	7829993	0.0832556734547632
1_7830004	1	7830004	0.0453406521343492
1_7830049	1	7830049	0.0221764644899585
1_7842655	1	7842655	0.739225724621806
1_7842676	1	7842676	0.707861553712471
1_7846697	1	7846697	0.475127188154565
1_7852915	1	7852915	0.117737347875536
1_7852944	1	7852944	0.141816266333945
1_7935030	1	7935030	0.118260158187795
1_7939911	1	7939911	0.443090530105472
1_8013850	1	8013850	0.123380513046139
1_8013869	1	8013869	0.147052914700092
1_8013883	1	8013883	0.161854660860774
1_8014274	1	8014274	0.398236294321211
1_8330435	1	8330435	-0.207102342431729
1_8330720	1	8330720	0.214821542432354
1_8330828	1	8330828	-0.000827050072642279
1_8335614	1	8335614	0.248218752312462
1_8339614	1	8339614	0.0319574852825438
1_8343775	1	8343775	0.133625459584373
1_8343908	1	8343908	-0.163058497122599
1_8355558	1	8355558	0.102492842329478
1_8358650	1	8358650	0.214821542432354
1_8358860	1	8358860	0.194167001519425
1_8359794	1	8359794	0.0850784090615808
1_8360375	1	8360375	0.213389586939223
1_8360443	1	8360443	-0.0739582762379951
