	Chromosome	Position	96RT_TISSUE_vs_96RT_PBMC.tumour
1_1535428	1	1535428	-0.425711973791747
1_1544894	1	1544894	-0.0727817414863485
1_1599902	1	1599902	-0.0742905738088748
1_1615755	1	1615755	0.246483364984221
1_1615856	1	1615856	-0.0385953701088372
1_1615869	1	1615869	0.00979638098829017
1_1616572	1	1616572	-0.0736842720387036
1_1623412	1	1623412	-0.226967296108195
1_1623829	1	1623829	-0.153278869955704
1_1623847	1	1623847	0.0628545609090617
1_1625566	1	1625566	-0.0166074302666445
1_1627150	1	1627150	-0.125104363363512
1_1627322	1	1627322	-0.338088108483995
1_1629261	1	1629261	-0.0665672367623728
1_1630322	1	1630322	-0.594563141882742
1_1632438	1	1632438	0.226616823202883
1_1636993	1	1636993	-0.282467125493635
1_1637828	1	1637828	-0.161499376760672
1_1665856	1	1665856	-0.63967753619327
1_1669706	1	1669706	-0.101304594841926
1_1704310	1	1704310	-0.259531459721199
1_1719368	1	1719368	-0.270604511768008
1_1732521	1	1732521	0.0890656771109051
1_1752910	1	1752910	-0.335176513064092
1_1754628	1	1754628	-0.143678099673428
1_1754642	1	1754642	-0.117134306220609
1_1757280	1	1757280	-0.230409775726157
1_1759105	1	1759105	-0.0981373157632427
1_1762005	1	1762005	0.054714172320128
1_1815818	1	1815818	-0.290782393705639
1_1891375	1	1891375	-0.265691412742808
1_1915326	1	1915326	-0.0613005475828714
1_1916540	1	1916540	0.0903077736498678
1_1916792	1	1916792	0.0513235831193543
1_1918513	1	1918513	-0.190255517751674
1_1923136	1	1923136	-0.0933363294994216
1_1923140	1	1923140	-0.0142647585082229
1_1923904	1	1923904	0.0687599929815016
1_1924451	1	1924451	0.171560820351562
1_1926326	1	1926326	-0.30785590706458
1_1926457	1	1926457	-0.182406232660847
1_1926661	1	1926661	0.0492930478919832
1_1926722	1	1926722	-0.0933363294994216
1_1942086	1	1942086	-0.580289010900623
1_1944420	1	1944420	0.0252450997420394
1_1956754	1	1956754	-0.0581216369153636
1_1964940	1	1964940	-0.180599475955216
1_1966450	1	1966450	-0.406259611125575
1_1966521	1	1966521	-0.30785590706458
1_1968644	1	1968644	-0.0904837432198073
1_1968772	1	1968772	-0.0388031763808405
1_1970690	1	1970690	0.0393662079866921
1_1970786	1	1970786	0.26864501490838
1_1972962	1	1972962	0.102228799243206
1_1974028	1	1974028	-0.00698942770504733
1_1985090	1	1985090	-0.0170215812787864
1_2023748	1	2023748	-0.279467080477805
1_2024324	1	2024324	0.185655650237349
1_2024503	1	2024503	0.148101847527573
1_2024579	1	2024579	0.219832765555436
1_2025598	1	2025598	-0.408139344343797
1_2025673	1	2025673	-0.154460922492858
1_2029235	1	2029235	-0.0981373157632427
1_2029675	1	2029675	-0.0896425215977874
1_2030027	1	2030027	-0.42269406921122
1_2056554	1	2056554	-0.0277479878718449
1_2059575	1	2059575	-0.218026051270324
1_2074688	1	2074688	-0.188420676075961
1_2169339	1	2169339	-0.233066895849351
1_2169401	1	2169401	-0.0750537026502014
1_2169539	1	2169539	0.24355403394555
1_2169545	1	2169545	0.294180107015518
1_2180521	1	2180521	0.134523441027032
1_2181939	1	2181939	-0.377291386960314
1_2182126	1	2182126	0.124255105573205
1_2182337	1	2182337	-0.26732342088165
1_2182380	1	2182380	-0.250704954330303
1_2182443	1	2182443	-0.238314973811503
1_2182461	1	2182461	-0.445110540096933
1_2182465	1	2182465	-0.323203871398016
1_2190570	1	2190570	-0.767220437648626
1_2198019	1	2198019	-0.219229132680605
1_2201209	1	2201209	0.0663741894927052
1_2229237	1	2229237	-0.148763388833211
1_2240778	1	2240778	0.220179525571741
1_2303882	1	2303882	-0.20058458473406
1_2303939	1	2303939	-0.254256517680525
1_2304552	1	2304552	-0.16525151162178
1_2306103	1	2306103	0.249785987657064
1_2321534	1	2321534	-0.191246720154724
1_2332683	1	2332683	-0.00605291677252578
1_2332752	1	2332752	-0.218632607949803
1_2358704	1	2358704	-0.00265700690901429
1_2379143	1	2379143	0.0158789445284132
1_2403103	1	2403103	-0.301351635415826
1_2405080	1	2405080	-0.183867189789127
1_2406784	1	2406784	-0.688117891251023
1_2406885	1	2406885	-0.457679702450383
1_2408773	1	2408773	-0.331046263919366
1_2412497	1	2412497	-0.183867189789127
1_2427689	1	2427689	-0.140756949701031
1_2430360	1	2430360	-0.0446218064362409
1_2430393	1	2430393	0.100408363618837
1_2489840	1	2489840	0.0591600773513201
1_2491211	1	2491211	-0.545596292734464
1_2494907	1	2494907	-0.154046056913899
1_2496979	1	2496979	0.176996567645179
1_2499031	1	2499031	-0.144157479987155
1_2499660	1	2499660	0.421641016197776
1_2502162	1	2502162	-0.250889666582126
1_2502203	1	2502203	0.000983730671471181
1_2502535	1	2502535	0.0847267413865677
1_2502732	1	2502732	0.103496545406408
1_2504255	1	2504255	-0.197672989314157
1_2504662	1	2504662	0.151735841995312
1_2504832	1	2504832	-0.0821957718942213
1_2504866	1	2504866	-0.42508348541723
1_2520751	1	2520751	-0.19915191824007
1_2520882	1	2520882	-0.234198865339271
1_2521922	1	2521922	0.41223586853723
1_2526571	1	2526571	0.387289511406999
1_2529533	1	2529533	-0.212172559009272
1_2529549	1	2529549	-0.115695687147547
1_2529768	1	2529768	0.0455009941587936
1_2529825	1	2529825	0.112282463907129
1_2530132	1	2530132	-0.0414229247689213
1_2556673	1	2556673	0.186990860921168
1_2559170	1	2559170	-0.227588567218445
1_2559173	1	2559173	-0.330310757892276
1_2559459	1	2559459	-0.0683899723691907
1_2559483	1	2559483	0.0847267413865677
1_2559621	1	2559621	0.154628754616724
1_2559632	1	2559632	0.319805914691012
1_2559902	1	2559902	0.294180107015518
1_2588536	1	2588536	0.322194483185114
1_2591576	1	2591576	-0.432801398578067
1_2591973	1	2591973	-0.215494266401401
1_2592689	1	2592689	-0.238314973811503
1_2593833	1	2593833	0.0610612790860111
1_2596033	1	2596033	0.0731809209789359
1_2596615	1	2596615	-0.170488159987927
1_2606261	1	2606261	0.0890656771109051
1_2609829	1	2609829	0.208023463265803
1_2609830	1	2609830	0.230049769595802
1_2644433	1	2644433	0.298429580016875
1_2783654	1	2783654	-0.406259611125575
1_2785877	1	2785877	-0.101748569315622
1_2787490	1	2787490	-0.683099816484399
1_2789597	1	2789597	-0.21483354047234
1_2800342	1	2800342	0.0795860562394768
1_2800478	1	2800478	0.0795860562394768
1_2800484	1	2800484	0.150727316934396
1_2800545	1	2800545	0.41376172276819
1_2800790	1	2800790	0.233484175327964
1_3021701	1	3021701	0.0687599929815016
1_3021858	1	3021858	0.454900417561676
1_3021860	1	3021860	0.479735760171594
1_3022005	1	3022005	0.419710989099377
1_3022574	1	3022574	0.203032218957322
1_3186480	1	3186480	0.245270506534571
1_3385157	1	3385157	-0.128510964806762
1_3386696	1	3386696	0.367111629469369
1_3396544	1	3396544	0.0552134611435537
1_3405509	1	3405509	-0.290782393705639
1_3411623	1	3411623	0.307600622777839
1_3411715	1	3411715	0.0753455050922587
1_3411881	1	3411881	0.059403961223237
1_3412576	1	3412576	-0.150184063532838
1_3412736	1	3412736	-0.265691412742808
1_3425743	1	3425743	-0.0594568475991828
1_3426071	1	3426071	-0.0649009862893109
1_3426095	1	3426095	-0.0206932303378944
1_3430956	1	3430956	0.286526534472082
1_3431048	1	3431048	-0.16525151162178
1_3432131	1	3432131	-0.846301116534313
1_3463266	1	3463266	0.17054875784714
1_3463493	1	3463493	0.100796132749216
1_3469503	1	3469503	0.133715434822271
1_3471739	1	3471739	0.0436366453649206
1_3473444	1	3473444	-0.131125727717153
1_3477892	1	3477892	0.160780981598319
1_3478424	1	3478424	-0.0201348037619697
1_3478612	1	3478612	0.202257617574478
1_3479532	1	3479532	-0.117450790820077
1_3480485	1	3480485	0.00467348982053258
1_3492645	1	3492645	0.164897090070551
1_3492682	1	3492682	-0.319733767401768
1_3492708	1	3492708	-0.192601999766735
1_3493846	1	3493846	-0.0683899723691907
1_3494017	1	3494017	-0.398585683240153
1_3494371	1	3494371	-0.392662007724852
1_3495901	1	3495901	-0.175305176285703
1_3495957	1	3495957	-0.271417068838707
1_3496003	1	3496003	-0.250140409208293
1_3497541	1	3497541	-0.00227730035572649
1_3499682	1	3499682	-0.0918783252915604
1_3499709	1	3499709	-0.11675299393059
1_3499885	1	3499885	-0.368784905706912
1_3501081	1	3501081	0.0984920095081236
1_3501198	1	3501198	-0.275015077847322
1_3505283	1	3505283	0.160324360280727
1_3505549	1	3505549	0.0811863836813192
1_3508619	1	3508619	-0.788282053176455
1_3510787	1	3510787	-0.271673570757934
1_3514574	1	3514574	-0.719625692509513
1_3514671	1	3514671	0.21326011163195
1_3515498	1	3515498	0.0525193519742907
1_3524189	1	3524189	0.241068770555955
1_3547098	1	3547098	-0.0322493801067856
1_3595444	1	3595444	0.116127224689805
1_3602546	1	3602546	-0.312808700035638
1_3631426	1	3631426	-0.254256517680525
1_3722203	1	3722203	-0.0821957718942213
1_3727147	1	3727147	-0.199359365942044
1_3752608	1	3752608	-0.261238118091623
1_3752637	1	3752637	-0.407965933075978
1_3752792	1	3752792	0.161729810991868
1_3755518	1	3755518	-0.0578052217280245
1_3756820	1	3756820	0.0264077821750606
1_3761290	1	3761290	0.246874392237161
1_3761369	1	3761369	0.233484175327964
1_3762639	1	3762639	0.101535029073122
1_3763322	1	3763322	0.259691730630227
1_3763538	1	3763538	-0.0843315162382124
1_3763769	1	3763769	-0.219699295644156
1_3767350	1	3767350	-0.276282824010523
1_3769851	1	3769851	-0.353323859774351
1_3771308	1	3771308	0.0982598970402608
1_3782760	1	3782760	-0.158332097681989
1_3786945	1	3786945	-0.0142647585082229
1_3787134	1	3787134	0.130681374732638
1_3795946	1	3795946	-0.246388274347185
1_3815395	1	3815395	-0.650324780392779
1_3815444	1	3815444	-0.663825804319855
1_3823504	1	3823504	-0.0981373157632427
1_3829360	1	3829360	-0.423232689729288
1_3829920	1	3829920	0.137311258398652
1_3833933	1	3833933	-0.022134381408318
1_3835070	1	3835070	-0.207124464658729
1_3836504	1	3836504	-0.826835293945848
1_3839111	1	3839111	0.0700993355262997
1_3839662	1	3839662	-0.215820336024417
1_3839755	1	3839755	-0.150604735657379
1_3847485	1	3847485	-0.204070760512308
1_3851795	1	3851795	-0.16525151162178
1_3883554	1	3883554	-0.163670475802299
1_3883678	1	3883678	-0.28058662659975
1_3889984	1	3889984	-0.162049079583436
1_3890824	1	3890824	0.0252450997420394
1_3890943	1	3890943	0.0646982608927502
1_3891029	1	3891029	0.264432763621466
1_3891765	1	3891765	-0.136454247314345
1_4711993	1	4711993	-0.100957834825621
1_5863309	1	5863309	-0.0482120904315604
1_5864423	1	5864423	-0.14225986899555
1_5864440	1	5864440	0.0597148533784947
1_5866447	1	5866447	0.14790637363785
1_5875036	1	5875036	-0.513174815042087
1_5875098	1	5875098	-0.105226740549562
1_5877102	1	5877102	-0.0736842720387036
1_5880206	1	5880206	-0.438339582119496
1_5890953	1	5890953	0.0591600773513201
1_5904731	1	5904731	-0.012680539782903
1_5905324	1	5905324	-0.212779881704365
1_5905764	1	5905764	-0.346635628439156
1_5909185	1	5909185	0.248800203511508
1_5948118	1	5948118	0.187264903099005
1_5978411	1	5978411	-0.0355253384635641
1_6073370	1	6073370	-0.196145519567563
1_6082248	1	6082248	0.0289746021400966
1_6082379	1	6082379	-0.0106744745129034
1_6085742	1	6085742	-0.26732342088165
1_6085837	1	6085837	-0.508962563755172
1_6085846	1	6085846	-0.250140409208293
1_6085878	1	6085878	-0.425711973791747
1_6085974	1	6085974	-0.439645779620121
1_6086245	1	6086245	-0.386997708964942
1_6088993	1	6088993	-0.279811275884636
1_6098502	1	6098502	-0.196317709702146
1_6099890	1	6099890	-0.0403755961995942
1_6099973	1	6099973	0.193093981901203
1_6109928	1	6109928	-0.0277479878718449
1_6124032	1	6124032	-0.444816022378059
1_6125548	1	6125548	-0.0591121587811801
1_6130155	1	6130155	0.119305889601472
1_6130255	1	6130255	0.0794008697889451
1_6136809	1	6136809	0.326497827288246
1_6149303	1	6149303	-0.172945903411781
1_6152418	1	6152418	0.302307987898918
1_6152469	1	6152469	0.356701191573576
1_6207418	1	6207418	0.038923051773443
1_6208898	1	6208898	0.010598323777638
1_6208934	1	6208934	0.253152838755463
1_6208961	1	6208961	0.0502545241294283
1_6209280	1	6209280	-0.431263617255469
1_6210409	1	6210409	0.0865846876071504
1_6211065	1	6211065	-0.0805646863152929
1_6212018	1	6212018	0.0108733061554624
1_6212030	1	6212030	0.0240909436477731
1_6213147	1	6213147	0.226824839213753
1_6218354	1	6218354	0.16422151289085
1_6225119	1	6225119	0.166075281267832
1_6235898	1	6235898	0.0521053198173699
1_6244394	1	6244394	-0.114932558306221
1_6245232	1	6245232	-0.189853484854858
1_6250433	1	6250433	-0.102337304292528
1_6250614	1	6250614	0.709217606294361
1_6254623	1	6254623	0.0867804001545425
1_6294955	1	6294955	-0.332602569400266
1_6339467	1	6339467	-0.168298387180644
1_6349836	1	6349836	0.187680485714839
1_6425205	1	6425205	0.0173399016566932
1_6440652	1	6440652	-0.254256517680525
1_6441049	1	6441049	-0.487179606509142
1_6445735	1	6445735	-0.448323670692119
1_6447451	1	6447451	-0.176323669120724
1_6448769	1	6448769	-0.223668197847102
1_6448885	1	6448885	-0.28274507464022
1_6449070	1	6449070	0.152824257769976
1_6452055	1	6452055	0.0374502780359326
1_6454481	1	6454481	-0.527080417067305
1_6461443	1	6461443	0.142870783740552
1_6462158	1	6462158	-0.211926972994399
1_6462984	1	6462984	-0.0799441989972734
1_6463050	1	6463050	0.120799546936986
1_6464643	1	6464643	0.0784514159600804
1_6468242	1	6468242	0.350763635381885
1_6468255	1	6468255	0.36914216469674
1_6468378	1	6468378	0.181588280639157
1_6468505	1	6468505	-0.197672989314157
1_6469128	1	6469128	0.179537541074395
1_6469143	1	6469143	0.161154688384734
1_6473275	1	6473275	0.200753243047249
1_6473333	1	6473333	-0.0315395670342188
1_6474072	1	6474072	-0.207124464658729
1_6474109	1	6474109	-0.0683899723691907
1_6474583	1	6474583	0.0867804001545425
1_6475089	1	6475089	0.162729253387841
1_6475992	1	6475992	-0.0184101232925085
1_6476016	1	6476016	0.156676583265582
1_6506029	1	6506029	0.239732322993141
1_6506064	1	6506064	0.219412338613545
1_6506148	1	6506148	0.358720359210228
1_6550472	1	6550472	-0.26732342088165
1_6554475	1	6554475	-0.0981373157632427
1_6555384	1	6555384	-0.00350044162516739
1_6555409	1	6555409	-0.0933363294994216
1_6571046	1	6571046	0.110580168676129
1_6571204	1	6571204	0.281796382559685
1_6574642	1	6574642	-0.347365922072006
1_6575249	1	6575249	0.219832765555436
1_6578719	1	6578719	-0.0106744745129034
1_6579332	1	6579332	-0.513174815042087
1_6579376	1	6579376	-0.374198401893276
1_6581000	1	6581000	0.20964659680385
1_6593421	1	6593421	-0.357896589564176
1_6633012	1	6633012	0.034057296601627
1_6633037	1	6633037	0.0247194320222907
1_6634039	1	6634039	-0.248718334139095
1_6634059	1	6634059	-0.154046056913899
1_6635690	1	6635690	-0.244978704092514
1_6636172	1	6636172	0.134747479390847
1_6638330	1	6638330	0.0352039177560772
1_6644575	1	6644575	0.282402939239164
1_6645814	1	6645814	-0.342621325225257
1_6645884	1	6645884	-0.160721853141266
1_6651086	1	6651086	-0.0660761065309443
1_6825174	1	6825174	-0.991222111846731
1_7370160	1	7370160	0.012286673930408
1_7370205	1	7370205	0.155825184574075
1_7621940	1	7621940	-0.35090338614321
1_7663474	1	7663474	0.402886366458017
1_7663528	1	7663528	0.0535521142300033
1_7664502	1	7664502	-0.0277479878718449
1_7664637	1	7664637	-0.337076045979574
1_7664737	1	7664737	-0.214161112102726
1_7670988	1	7670988	-0.218269893921271
1_7732460	1	7732460	0.221116644825794
1_7737485	1	7737485	-0.215494266401401
1_7738425	1	7738425	-0.0731909586330119
1_7778168	1	7778168	-0.0242674191368829
1_7809988	1	7809988	-0.16691073554347
1_7810546	1	7810546	-0.28058662659975
1_7819317	1	7819317	-0.320529737099691
1_7826538	1	7826538	-0.290782393705639
1_7826690	1	7826690	-0.689331770195914
1_7827439	1	7827439	0.348335877062423
1_7827501	1	7827501	0.130060727254411
1_7827519	1	7827519	0.0165412882729519
1_7827709	1	7827709	0.0140721878227823
1_7829881	1	7829881	0.000680420454672553
1_7829887	1	7829887	0.0126097497442963
1_7829993	1	7829993	-0.69576622832056
1_7830004	1	7830004	-0.708925803852304
1_7830049	1	7830049	-0.189635670248739
1_7842655	1	7842655	0.194644433464603
1_7842676	1	7842676	0.0521053198173699
1_7846697	1	7846697	0.277729586234923
1_7852915	1	7852915	0.0888062695689155
1_7852944	1	7852944	-0.00127577651065367
1_7935030	1	7935030	-0.159995786170284
1_7939911	1	7939911	-0.495140892211825
1_8013850	1	8013850	-0.109542079035492
1_8013869	1	8013869	-0.186946582721099
1_8013883	1	8013883	-0.21171082271444
1_8014274	1	8014274	-0.43244354292923
1_8330435	1	8330435	0.258556197284796
1_8330720	1	8330720	0.0183216608241402
1_8330828	1	8330828	0.0933610976274215
1_8335614	1	8335614	0.230564007719546
1_8339614	1	8339614	-0.340251069969938
1_8343775	1	8343775	-0.00127577651065367
1_8343908	1	8343908	0.144432987510836
1_8355558	1	8355558	-0.174268384979214
1_8358650	1	8358650	-0.0230866105019818
1_8358860	1	8358860	0.218231253782219
1_8359794	1	8359794	0.21889197971128
1_8360375	1	8360375	-0.246388274347185
1_8360443	1	8360443	0.00877788815326922
1_8360492	1	8360492	-0.0563171400686156
