	Chromosome	Position	81B_CM-_vs_81B_PBMC.tumour
1_1333466	1	1333466	0
1_1334123	1	1334123	0
1_1334174	1	1334174	0
1_1334422	1	1334422	0
1_1336134	1	1336134	0
1_1336256	1	1336256	0
1_1336473	1	1336473	0
1_1338022	1	1338022	0
1_1339592	1	1339592	0
1_1340503	1	1340503	0
1_1342153	1	1342153	0
1_1353897	1	1353897	0
1_1354066	1	1354066	0
1_1355028	1	1355028	0
1_1387355	1	1387355	0
1_1393431	1	1393431	0
1_1399095	1	1399095	0
1_1405744	1	1405744	0
1_1405858	1	1405858	0
1_1419135	1	1419135	0
1_1419136	1	1419136	0
1_1419158	1	1419158	0
1_1419399	1	1419399	0
1_1419540	1	1419540	0
1_1420066	1	1420066	0
1_1420173	1	1420173	0
1_1420283	1	1420283	0
1_1420931	1	1420931	0
1_1426164	1	1426164	0
1_1426253	1	1426253	0
1_1426316	1	1426316	0
1_1426353	1	1426353	0
1_1434873	1	1434873	0
1_1434897	1	1434897	0
1_1434899	1	1434899	0
1_1436888	1	1436888	0
1_1436889	1	1436889	0
1_1437061	1	1437061	0
1_1437288	1	1437288	0
1_1439581	1	1439581	0
1_1439682	1	1439682	0
1_1439715	1	1439715	0
1_1452367	1	1452367	0
1_1455506	1	1455506	0
1_1455812	1	1455812	0
1_1455828	1	1455828	0
1_1457141	1	1457141	0
1_1457142	1	1457142	0
1_1460831	1	1460831	0
1_1460864	1	1460864	0
1_1468408	1	1468408	0
1_1468434	1	1468434	0
1_1477343	1	1477343	0
1_1478568	1	1478568	0
1_1485152	1	1485152	0
1_1485808	1	1485808	0
1_1487887	1	1487887	0
1_1489782	1	1489782	0
1_1490287	1	1490287	0
1_1490346	1	1490346	0
1_1490373	1	1490373	0
1_1495604	1	1495604	0
1_1495695	1	1495695	0
1_1495725	1	1495725	0
1_1495783	1	1495783	0
1_1495793	1	1495793	0
1_1512312	1	1512312	0
1_1523889	1	1523889	0
1_1533961	1	1533961	0
1_1535427	1	1535427	0
1_1535428	1	1535428	0
1_1544894	1	1544894	0
1_1599902	1	1599902	0
1_1615755	1	1615755	0
1_1615856	1	1615856	0
1_1615869	1	1615869	0
1_1616572	1	1616572	0
1_1623412	1	1623412	0
1_1623829	1	1623829	0
1_1623847	1	1623847	0
1_1625566	1	1625566	0
1_1627150	1	1627150	0
1_1627322	1	1627322	0
1_1629261	1	1629261	0
1_1630322	1	1630322	0
1_1632438	1	1632438	0
1_1636993	1	1636993	0
1_1637828	1	1637828	0
1_1665856	1	1665856	0
1_1669706	1	1669706	0
1_1704310	1	1704310	0
1_1719368	1	1719368	0
1_1732521	1	1732521	0
1_1752910	1	1752910	0
1_1754628	1	1754628	0
1_1754642	1	1754642	0
1_1757280	1	1757280	0
1_1759105	1	1759105	0
1_1762005	1	1762005	0
1_1815818	1	1815818	0
1_1891375	1	1891375	0
1_1915326	1	1915326	0
1_1916540	1	1916540	0
1_1916792	1	1916792	0
1_1918513	1	1918513	0
1_1923136	1	1923136	0
1_1923140	1	1923140	0
1_1923904	1	1923904	0
1_1924451	1	1924451	0
1_1926326	1	1926326	0
1_1926457	1	1926457	0
1_1926661	1	1926661	0
1_1926722	1	1926722	0
1_1942086	1	1942086	0
1_1944420	1	1944420	0
1_1956754	1	1956754	0
1_1964940	1	1964940	0
1_1966450	1	1966450	0
1_1966521	1	1966521	0
1_1968644	1	1968644	0
1_1968772	1	1968772	0
1_1970690	1	1970690	0
1_1970786	1	1970786	0
1_1972962	1	1972962	0
1_1974028	1	1974028	0
1_1985090	1	1985090	0
1_2023748	1	2023748	0
1_2024324	1	2024324	0
1_2024503	1	2024503	0
1_2024579	1	2024579	0
1_2025598	1	2025598	0
1_2025673	1	2025673	0
1_2029235	1	2029235	0
1_2029675	1	2029675	0
1_2030027	1	2030027	0
1_2056554	1	2056554	0
1_2059575	1	2059575	0
1_2074688	1	2074688	0
1_2169339	1	2169339	0
1_2169401	1	2169401	0
1_2169539	1	2169539	0
1_2169545	1	2169545	0
1_2180521	1	2180521	0
1_2181939	1	2181939	0
1_2182126	1	2182126	0
1_2182337	1	2182337	0
1_2182380	1	2182380	0
1_2182443	1	2182443	0
1_2182461	1	2182461	0
1_2182465	1	2182465	0
1_2190570	1	2190570	0
1_2198019	1	2198019	0
1_2201209	1	2201209	0
1_2229237	1	2229237	0
1_2240778	1	2240778	0
1_2303882	1	2303882	0
1_2303939	1	2303939	0
1_2304552	1	2304552	0
1_2306103	1	2306103	0
1_2321534	1	2321534	0
1_2332683	1	2332683	0
1_2332752	1	2332752	0
1_2358704	1	2358704	0
1_2379143	1	2379143	0
1_2403103	1	2403103	0
1_2405080	1	2405080	0
1_2406784	1	2406784	0
1_2406885	1	2406885	0
1_2408773	1	2408773	0
1_2412497	1	2412497	0
1_2427689	1	2427689	0
1_2430360	1	2430360	0
1_2430393	1	2430393	0
1_2489840	1	2489840	0
1_2491211	1	2491211	0
1_2494907	1	2494907	0
1_2496979	1	2496979	0
1_2499031	1	2499031	0
1_2499660	1	2499660	0
1_2502162	1	2502162	0
1_2502203	1	2502203	0
1_2502535	1	2502535	0
1_2502732	1	2502732	0
1_2504255	1	2504255	0
1_2504662	1	2504662	0
1_2504832	1	2504832	0
1_2504866	1	2504866	0
1_2520751	1	2520751	0
1_2520882	1	2520882	0
1_2521922	1	2521922	0
1_2526571	1	2526571	0
1_2529533	1	2529533	0
1_2529549	1	2529549	0
1_2529768	1	2529768	0
1_2529825	1	2529825	0
1_2530132	1	2530132	0
1_2556673	1	2556673	0
1_2559170	1	2559170	0
1_2559173	1	2559173	0
1_2559459	1	2559459	0
1_2559483	1	2559483	0
1_2559621	1	2559621	0
1_2559632	1	2559632	0
1_2559902	1	2559902	0
1_2588536	1	2588536	0
1_2591576	1	2591576	0
1_2591973	1	2591973	0
1_2592689	1	2592689	0
1_2593833	1	2593833	0
1_2596033	1	2596033	0
1_2596615	1	2596615	0
1_2606261	1	2606261	0
1_2609829	1	2609829	0
1_2609830	1	2609830	0
1_2644433	1	2644433	0
1_2783654	1	2783654	0
1_2785877	1	2785877	0
1_2787490	1	2787490	0
1_2789597	1	2789597	0
1_2800342	1	2800342	0
1_2800478	1	2800478	0
1_2800484	1	2800484	0
1_2800545	1	2800545	0
1_2800790	1	2800790	0
1_3021701	1	3021701	0
1_3021858	1	3021858	0
1_3021860	1	3021860	0
1_3022005	1	3022005	0
1_3022574	1	3022574	0
1_3186480	1	3186480	0
1_3385157	1	3385157	0
1_3386696	1	3386696	0
1_3396544	1	3396544	0
1_3405509	1	3405509	0
1_3411623	1	3411623	0
1_3411715	1	3411715	0
1_3411881	1	3411881	0
1_3412576	1	3412576	0
1_3412736	1	3412736	0
1_3425743	1	3425743	0
1_3426071	1	3426071	0
1_3426095	1	3426095	0
1_3430956	1	3430956	0
1_3431048	1	3431048	0
1_3432131	1	3432131	0
1_3463266	1	3463266	0
1_3463493	1	3463493	0
1_3469503	1	3469503	0
1_3471739	1	3471739	0
1_3473444	1	3473444	0
1_3477892	1	3477892	0
1_3478424	1	3478424	0
1_3478612	1	3478612	0
1_3479532	1	3479532	0
1_3480485	1	3480485	0
1_3492645	1	3492645	0
1_3492682	1	3492682	0
1_3492708	1	3492708	0
1_3493846	1	3493846	0
1_3494017	1	3494017	0
1_3494371	1	3494371	0
1_3495901	1	3495901	0
1_3495957	1	3495957	0
1_3496003	1	3496003	0
1_3497541	1	3497541	0
1_3499682	1	3499682	0
1_3499709	1	3499709	0
1_3499885	1	3499885	0
1_3501081	1	3501081	0
1_3501198	1	3501198	0
1_3505283	1	3505283	0
1_3505549	1	3505549	0
1_3508619	1	3508619	0
1_3510787	1	3510787	0
1_3514574	1	3514574	0
1_3514671	1	3514671	0
1_3515498	1	3515498	0
1_3524189	1	3524189	0
1_3547098	1	3547098	0
1_3595444	1	3595444	0
1_3602546	1	3602546	0
1_3631426	1	3631426	0
1_3722203	1	3722203	0
1_3727147	1	3727147	0
1_3752608	1	3752608	0
1_3752637	1	3752637	0
1_3752792	1	3752792	0
1_3755518	1	3755518	0
1_3756820	1	3756820	0
1_3761290	1	3761290	0
1_3761369	1	3761369	0
1_3762639	1	3762639	0
1_3763322	1	3763322	0
1_3763538	1	3763538	0
1_3763769	1	3763769	0
1_3767350	1	3767350	0
1_3769851	1	3769851	0
1_3771308	1	3771308	0
1_3782760	1	3782760	0
1_3786945	1	3786945	0
1_3787134	1	3787134	0
1_3795946	1	3795946	0
1_3815395	1	3815395	0
1_3815444	1	3815444	0
1_3823504	1	3823504	0
1_3829360	1	3829360	0
1_3829920	1	3829920	0
1_3833933	1	3833933	0
1_3835070	1	3835070	0
1_3836504	1	3836504	0
1_3839111	1	3839111	0
1_3839662	1	3839662	0
1_3839755	1	3839755	0
1_3847485	1	3847485	0
1_3851795	1	3851795	0
1_3883554	1	3883554	0
1_3883678	1	3883678	0
1_3889984	1	3889984	0
1_3890824	1	3890824	0
1_3890943	1	3890943	0
1_3891029	1	3891029	0
1_3891765	1	3891765	0
1_4711993	1	4711993	0
1_5863309	1	5863309	0
1_5864423	1	5864423	0
1_5864440	1	5864440	0
1_5866447	1	5866447	0
1_5875036	1	5875036	0
1_5875098	1	5875098	0
1_5877102	1	5877102	0
1_5880206	1	5880206	0
1_5890953	1	5890953	0
1_5904731	1	5904731	0
1_5905324	1	5905324	0
1_5905764	1	5905764	0
1_5909185	1	5909185	0
1_5948118	1	5948118	0
1_5978411	1	5978411	0
1_6073370	1	6073370	0
1_6082248	1	6082248	0
1_6082379	1	6082379	0
1_6085742	1	6085742	0
1_6085837	1	6085837	0
1_6085846	1	6085846	0
1_6085878	1	6085878	0
1_6085974	1	6085974	0
1_6086245	1	6086245	0
1_6088993	1	6088993	0
1_6098502	1	6098502	0
1_6099890	1	6099890	0
1_6099973	1	6099973	0
1_6109928	1	6109928	0
1_6124032	1	6124032	0
1_6125548	1	6125548	0
1_6130155	1	6130155	0
1_6130255	1	6130255	0
1_6136809	1	6136809	0
1_6149303	1	6149303	0
1_6152418	1	6152418	0
1_6152469	1	6152469	0
1_6207418	1	6207418	0
1_6208898	1	6208898	0
1_6208934	1	6208934	0
1_6208961	1	6208961	0
1_6209280	1	6209280	0
1_6210409	1	6210409	0
1_6211065	1	6211065	0
1_6212018	1	6212018	0
1_6212030	1	6212030	0
1_6213147	1	6213147	0
1_6218354	1	6218354	0
1_6225119	1	6225119	0
1_6235898	1	6235898	0
1_6244394	1	6244394	0
1_6245232	1	6245232	0
1_6250433	1	6250433	0
1_6250614	1	6250614	0
1_6254623	1	6254623	0
1_6294955	1	6294955	0
1_6339467	1	6339467	0
1_6349836	1	6349836	0
1_6425205	1	6425205	0
1_6440652	1	6440652	0
1_6441049	1	6441049	0
1_6445735	1	6445735	0
1_6447451	1	6447451	0
1_6448769	1	6448769	0
1_6448885	1	6448885	0
1_6449070	1	6449070	0
1_6452055	1	6452055	0
1_6454481	1	6454481	0
1_6461443	1	6461443	0
1_6462158	1	6462158	0
1_6462984	1	6462984	0
1_6463050	1	6463050	0
1_6464643	1	6464643	0
1_6468242	1	6468242	0
1_6468255	1	6468255	0
1_6468378	1	6468378	0
1_6468505	1	6468505	0
1_6469128	1	6469128	0
1_6469143	1	6469143	0
1_6473275	1	6473275	0
1_6473333	1	6473333	0
1_6474072	1	6474072	0
1_6474109	1	6474109	0
1_6474583	1	6474583	0
1_6475089	1	6475089	0
1_6475992	1	6475992	0
1_6476016	1	6476016	0
1_6506029	1	6506029	0
1_6506064	1	6506064	0
1_6506148	1	6506148	0
1_6550472	1	6550472	0
1_6554475	1	6554475	0
1_6555384	1	6555384	0
1_6555409	1	6555409	0
1_6571046	1	6571046	0
1_6571204	1	6571204	0
1_6574642	1	6574642	0
1_6575249	1	6575249	0
1_6578719	1	6578719	0
1_6579332	1	6579332	0
1_6579376	1	6579376	0
1_6581000	1	6581000	0
1_6593421	1	6593421	0
1_6633012	1	6633012	0
1_6633037	1	6633037	0
1_6634039	1	6634039	0
1_6634059	1	6634059	0
1_6635690	1	6635690	0
1_6636172	1	6636172	0
1_6638330	1	6638330	0
1_6644575	1	6644575	0
1_6645814	1	6645814	0
1_6645884	1	6645884	0
1_6651086	1	6651086	0
1_6825174	1	6825174	0
1_7370160	1	7370160	0
1_7370205	1	7370205	0
1_7621940	1	7621940	0
1_7663474	1	7663474	0
1_7663528	1	7663528	0
1_7664502	1	7664502	0
1_7664637	1	7664637	0
1_7664737	1	7664737	0
1_7670988	1	7670988	0
1_7732460	1	7732460	0
1_7737485	1	7737485	0
1_7738425	1	7738425	0
1_7778168	1	7778168	0
1_7809988	1	7809988	0
1_7810546	1	7810546	0
1_7819317	1	7819317	0
1_7826538	1	7826538	0
1_7826690	1	7826690	0
1_7827439	1	7827439	0
1_7827501	1	7827501	0
1_7827519	1	7827519	0
1_7827709	1	7827709	0
1_7829881	1	7829881	0
1_7829887	1	7829887	0
1_7829993	1	7829993	0
1_7830004	1	7830004	0
1_7830049	1	7830049	0
1_7842655	1	7842655	0
1_7842676	1	7842676	0
1_7846697	1	7846697	0
1_7852915	1	7852915	0
1_7852944	1	7852944	0
1_7935030	1	7935030	0
1_7939911	1	7939911	0
1_8013850	1	8013850	0
1_8013869	1	8013869	0
1_8013883	1	8013883	0
1_8014274	1	8014274	0
1_8330435	1	8330435	0
1_8330720	1	8330720	0
1_8330828	1	8330828	0
1_8335614	1	8335614	0
1_8339614	1	8339614	0
1_8343775	1	8343775	0
1_8343908	1	8343908	0
1_8355558	1	8355558	0
1_8358650	1	8358650	0
1_8358860	1	8358860	0
1_8359794	1	8359794	0
1_8360375	1	8360375	0
1_8360443	1	8360443	0
1_8360492	1	8360492	0
1_8360503	1	8360503	0
1_8360612	1	8360612	0
1_8361083	1	8361083	0
1_8361126	1	8361126	0
1_8624343	1	8624343	0
1_8656247	1	8656247	0
1_8861360	1	8861360	0
1_8949303	1	8949303	0
1_8949347	1	8949347	0
1_8949355	1	8949355	0
1_8949393	1	8949393	0
1_8951527	1	8951527	0
1_8974362	1	8974362	0
1_9007318	1	9007318	0
1_9007358	1	9007358	0
1_9014735	1	9014735	0
1_9014802	1	9014802	0
1_9014814	1	9014814	0
1_9014831	1	9014831	0
1_9038482	1	9038482	0
1_9039892	1	9039892	0
1_9041924	1	9041924	0
1_9057537	1	9057537	0
1_9058188	1	9058188	0
1_9104515	1	9104515	0
1_9104577	1	9104577	0
1_9105626	1	9105626	0
1_9242965	1	9242965	0
1_9245189	1	9245189	0
1_9245334	1	9245334	0
1_9246991	1	9246991	0
1_9247016	1	9247016	0
1_9247017	1	9247017	0
1_9262084	1	9262084	0
1_9262324	1	9262324	0
1_9264218	1	9264218	0
1_9264227	1	9264227	0
1_9264263	1	9264263	0
1_9264611	1	9264611	0
1_9580233	1	9580233	0
1_9582366	1	9582366	0
1_9612988	1	9612988	0
1_9614894	1	9614894	0
1_9615303	1	9615303	0
1_9615318	1	9615318	0
1_9622200	1	9622200	0
1_9717027	1	9717027	0
1_9720166	1	9720166	0
1_9720540	1	9720540	0
1_9721147	1	9721147	0
1_9721246	1	9721246	0
1_9721447	1	9721447	0
1_9722328	1	9722328	0
1_9724365	1	9724365	0
1_9744467	1	9744467	0
1_9744633	1	9744633	0
1_9751483	1	9751483	0
1_9751516	1	9751516	0
1_9773303	1	9773303	0
1_9872043	1	9872043	0
1_9922297	1	9922297	0
1_9934787	1	9934787	0
1_9972110	1	9972110	0
1_10101207	1	10101207	0
1_10119557	1	10119557	0
1_10130715	1	10130715	0
1_10303186	1	10303186	0
1_10303453	1	10303453	0
1_10303606	1	10303606	0
1_10304277	1	10304277	0
1_10334565	1	10334565	0
1_10343234	1	10343234	0
1_10361031	1	10361031	0
1_10368512	1	10368512	0
1_10371241	1	10371241	0
1_10380226	1	10380226	0
1_10413139	1	10413139	0
1_10419728	1	10419728	0
1_10461572	1	10461572	0
1_10461640	1	10461640	0
1_10469269	1	10469269	0
1_10536284	1	10536284	0
1_10599276	1	10599276	0
1_10618382	1	10618382	0
1_10623109	1	10623109	0
1_10629648	1	10629648	0
1_10629678	1	10629678	0
1_10629812	1	10629812	0
1_10629994	1	10629994	0
1_10639344	1	10639344	0
1_10639683	1	10639683	0
1_10640045	1	10640045	0
1_10642250	1	10642250	0
1_10642935	1	10642935	0
1_10646266	1	10646266	0
1_10646326	1	10646326	0
1_10649075	1	10649075	0
1_10649384	1	10649384	0
1_10653593	1	10653593	0
1_10653750	1	10653750	0
1_10653788	1	10653788	0
1_10653867	1	10653867	0
1_10653940	1	10653940	0
1_10659877	1	10659877	0
1_10660248	1	10660248	0
1_10660397	1	10660397	0
1_10665309	1	10665309	0
1_10665356	1	10665356	0
1_10947668	1	10947668	0
1_10948045	1	10948045	0
1_10948070	1	10948070	0
1_10948360	1	10948360	0
1_10948628	1	10948628	0
1_10948742	1	10948742	0
1_10949622	1	10949622	0
1_10949646	1	10949646	0
1_10954061	1	10954061	0
1_10955108	1	10955108	0
1_11027008	1	11027008	0
1_11027215	1	11027215	0
1_11030859	1	11030859	0
1_11034851	1	11034851	0
1_11042882	1	11042882	0
1_11042883	1	11042883	0
1_11043525	1	11043525	0
1_11046591	1	11046591	0
1_11046609	1	11046609	0
1_11046672	1	11046672	0
1_11047065	1	11047065	0
1_11047087	1	11047087	0
1_11047092	1	11047092	0
1_11055787	1	11055787	0
1_11069599	1	11069599	0
1_11070918	1	11070918	0
1_11073948	1	11073948	0
1_11081130	1	11081130	0
1_11098048	1	11098048	0
1_11099766	1	11099766	0
1_11109363	1	11109363	0
1_11121270	1	11121270	0
1_11124536	1	11124536	0
1_11130538	1	11130538	0
1_11139391	1	11139391	0
1_11144841	1	11144841	0
1_11145001	1	11145001	0
1_11192312	1	11192312	0
1_11193588	1	11193588	0
1_11194951	1	11194951	0
1_11199598	1	11199598	0
1_11210838	1	11210838	0
1_11212411	1	11212411	0
1_11240460	1	11240460	0
1_11501143	1	11501143	0
1_11502856	1	11502856	0
1_11516008	1	11516008	0
1_11528050	1	11528050	0
1_11529815	1	11529815	0
1_11529838	1	11529838	0
1_11531680	1	11531680	0
1_11535515	1	11535515	0
1_11535609	1	11535609	0
1_11536398	1	11536398	0
1_11536572	1	11536572	0
1_11661214	1	11661214	0
1_11668837	1	11668837	0
1_11668877	1	11668877	0
1_11668895	1	11668895	0
1_11673346	1	11673346	0
1_11688127	1	11688127	0
1_11711942	1	11711942	0
1_11715121	1	11715121	0
1_11746177	1	11746177	0
1_11748477	1	11748477	0
1_11761978	1	11761978	0
1_11762248	1	11762248	0
1_11766129	1	11766129	0
1_11766294	1	11766294	0
1_11766573	1	11766573	0
1_11768262	1	11768262	0
1_11771538	1	11771538	0
1_11772254	1	11772254	0
1_11775556	1	11775556	0
1_11776571	1	11776571	0
1_11776613	1	11776613	0
1_11778791	1	11778791	0
1_11779866	1	11779866	0
1_11779915	1	11779915	0
1_11784463	1	11784463	0
1_11785215	1	11785215	0
1_11787997	1	11787997	0
1_11788822	1	11788822	0
1_11788915	1	11788915	0
1_11789390	1	11789390	0
1_11790693	1	11790693	0
1_11790870	1	11790870	0
1_11791734	1	11791734	0
1_11794419	1	11794419	0
1_11794839	1	11794839	0
1_11816635	1	11816635	0
1_11838567	1	11838567	0
1_11838792	1	11838792	0
1_11838802	1	11838802	0
1_11838976	1	11838976	0
1_11858365	1	11858365	0
1_11858387	1	11858387	0
1_11858780	1	11858780	0
1_11944606	1	11944606	0
1_11949781	1	11949781	0
1_11949854	1	11949854	0
1_11949898	1	11949898	0
1_11949899	1	11949899	0
1_11950412	1	11950412	0
1_11952696	1	11952696	0
1_11957902	1	11957902	0
1_11963598	1	11963598	0
1_11965543	1	11965543	0
1_11966298	1	11966298	0
1_11974699	1	11974699	0
1_11974757	1	11974757	0
1_11996252	1	11996252	0
1_11997386	1	11997386	0
1_12001541	1	12001541	0
1_12004010	1	12004010	0
1_12004835	1	12004835	0
1_12009668	1	12009668	0
1_12014431	1	12014431	0
1_12014458	1	12014458	0
1_12014474	1	12014474	0
1_12022187	1	12022187	0
1_12022277	1	12022277	0
1_12022869	1	12022869	0
1_12029085	1	12029085	0
1_12029794	1	12029794	0
1_12029889	1	12029889	0
1_12031554	1	12031554	0
1_12031731	1	12031731	0
1_12104380	1	12104380	0
1_12104394	1	12104394	0
1_12138290	1	12138290	0
1_12188885	1	12188885	0
1_12192516	1	12192516	0
1_12192870	1	12192870	0
1_12194666	1	12194666	0
1_12194953	1	12194953	0
1_12195131	1	12195131	0
1_12208442	1	12208442	0
1_12244346	1	12244346	0
1_12244587	1	12244587	0
1_12257944	1	12257944	0
1_12276090	1	12276090	0
1_12277831	1	12277831	0
1_12283372	1	12283372	0
1_12283436	1	12283436	0
1_12318217	1	12318217	0
1_12322574	1	12322574	0
1_12341811	1	12341811	0
1_12353983	1	12353983	0
1_12378571	1	12378571	0
1_12617237	1	12617237	0
1_12666726	1	12666726	0
1_12716341	1	12716341	0
1_12719545	1	12719545	0
1_12719616	1	12719616	0
1_12720907	1	12720907	0
1_12725413	1	12725413	0
1_12725484	1	12725484	0
1_12725527	1	12725527	0
1_12725693	1	12725693	0
1_12725782	1	12725782	0
1_12755700	1	12755700	0
1_12755708	1	12755708	0
1_12759468	1	12759468	0
1_12760875	1	12760875	0
1_12775001	1	12775001	0
1_12775014	1	12775014	0
1_12775015	1	12775015	0
1_12775725	1	12775725	0
1_12775851	1	12775851	0
1_12777268	1	12777268	0
1_12777320	1	12777320	0
1_12777354	1	12777354	0
1_12777491	1	12777491	0
1_12825053	1	12825053	0
1_12827638	1	12827638	0
1_12828685	1	12828685	0
1_12828686	1	12828686	0
1_12847476	1	12847476	0
1_12860725	1	12860725	0
1_12861512	1	12861512	0
1_12881982	1	12881982	0
1_12883140	1	12883140	0
1_12883168	1	12883168	0
1_12883169	1	12883169	0
1_13115560	1	13115560	0
1_13115573	1	13115573	0
1_13319482	1	13319482	0
1_13322038	1	13322038	0
1_13370686	1	13370686	0
1_13370713	1	13370713	0
1_13370765	1	13370765	0
1_13370918	1	13370918	0
1_13371002	1	13371002	0
1_13389694	1	13389694	0
1_13389844	1	13389844	0
1_13390395	1	13390395	0
1_13390443	1	13390443	0
1_13390596	1	13390596	0
1_13390787	1	13390787	0
1_13390853	1	13390853	0
1_13391946	1	13391946	0
1_13392079	1	13392079	0
1_13392083	1	13392083	0
1_13392102	1	13392102	0
1_13392184	1	13392184	0
1_13392272	1	13392272	0
1_13416366	1	13416366	0
1_13416396	1	13416396	0
1_13416600	1	13416600	0
1_13418285	1	13418285	0
1_13418633	1	13418633	0
1_13421192	1	13421192	0
1_13421193	1	13421193	0
1_13475857	1	13475857	0
1_13475969	1	13475969	0
1_13513240	1	13513240	0
1_13610479	1	13610479	0
1_13778644	1	13778644	0
1_13778803	1	13778803	0
1_13778878	1	13778878	0
1_13780865	1	13780865	0
1_13782337	1	13782337	0
1_13782589	1	13782589	0
