Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
67B_T1_T1_1	67B_T1_T1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48551357.0	0.0	100.0	49.0	76.93734680375941	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
67B_T1_T1_2	67B_T1_T1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48551357.0	0.0	100.0	49.0	73.83536531911837	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
67B_T2_T1_1	67B_T2_T1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45082156.0	0.0	100.0	49.0	78.46456793456417	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
67B_T2_T1_2	67B_T2_T1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45082156.0	0.0	100.0	49.0	75.3909243891409	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
67RT_CM+_T1_1	67RT_CM+_T1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40813303.0	0.0	100.0	49.0	78.9136330397331	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
67RT_CM+_T1_2	67RT_CM+_T1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40813303.0	0.0	100.0	49.0	76.85320670195132	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
67RT_CM-_T1_1	67RT_CM-_T1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43120874.0	0.0	100.0	49.0	78.27969562430174	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
67RT_CM-_T1_2	67RT_CM-_T1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43120874.0	0.0	100.0	49.0	76.62539572147013	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
67RT_T1_T1_1	67RT_T1_T1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40693599.0	0.0	100.0	49.0	78.8880395663987	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
67RT_T1_T1_2	67RT_T1_T1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40693599.0	0.0	100.0	49.0	77.35031800001899	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
67RT_TISSUE_T1_1	67RT_TISSUE_T1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42114719.0	0.0	100.0	49.0	80.01007796576587	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
67RT_TISSUE_T1_2	67RT_TISSUE_T1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42114719.0	0.0	100.0	49.0	78.14507750545006	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
67_PBMC_T1_1	67_PBMC_T1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41504316.0	0.0	100.0	49.0	79.9122437150028	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
67_PBMC_T1_2	67_PBMC_T1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41504316.0	0.0	100.0	49.0	78.180699734903	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
67_RT_T2_T1_1	67_RT_T2_T1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43931635.0	0.0	100.0	49.0	78.03932685089303	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
67_RT_T2_T1_2	67_RT_T2_T1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43931635.0	0.0	100.0	49.0	76.1113434018414	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
81B_CM+_T1_1	81B_CM+_T1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40903968.0	0.0	100.0	49.0	79.3944312831174	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
81B_CM+_T1_2	81B_CM+_T1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40903968.0	0.0	100.0	49.0	77.21524525000433	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
81B_CM-_T1_1	81B_CM-_T1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45586868.0	0.0	100.0	49.0	78.34393004517129	100.0	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
81B_CM-_T1_2	81B_CM-_T1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45586868.0	0.0	100.0	49.0	75.442217765054	100.0	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
81B_PBMC_T1_1	81B_PBMC_T1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49454894.0	0.0	100.0	49.0	77.7458542697435	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
81B_PBMC_T1_2	81B_PBMC_T1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49454894.0	0.0	100.0	49.0	74.70032138581536	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
81B_T1_T1_1	81B_T1_T1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44247070.0	0.0	100.0	49.0	77.36595178750437	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
81B_T1_T1_2	81B_T1_T1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44247070.0	0.0	100.0	49.0	75.09669702121012	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
81B_T2_T1_1	81B_T2_T1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37461853.0	0.0	100.0	50.0	79.0867913954462	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
81B_T2_T1_2	81B_T2_T1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37461853.0	0.0	100.0	49.0	77.17990503831429	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
96RT_CM+_T1_1	96RT_CM+_T1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46445068.0	0.0	100.0	49.0	77.30560589919541	100.0	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
96RT_CM+_T1_2	96RT_CM+_T1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46445068.0	0.0	100.0	49.0	74.9362123358867	100.0	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
96RT_CM-_T1_1	96RT_CM-_T1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47700048.0	0.0	100.0	49.0	76.32448542145079	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
96RT_CM-_T1_2	96RT_CM-_T1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47700048.0	0.0	100.0	49.0	74.39224563690206	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
96RT_PBMC_T1_1	96RT_PBMC_T1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53140032.0	0.0	100.0	49.0	76.01666513868847	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
96RT_PBMC_T1_2	96RT_PBMC_T1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53140032.0	0.0	100.0	49.0	73.97823366581581	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
96RT_T1_T1_1	96RT_T1_T1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49562405.0	0.0	100.0	49.0	75.91416150021045	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
96RT_T1_T1_2	96RT_T1_T1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49562405.0	0.0	100.0	49.0	73.69045426892363	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
96RT_T2_T1_1	96RT_T2_T1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41123782.0	0.0	100.0	49.0	78.76932180379117	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
96RT_T2_T1_2	96RT_T2_T1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41123782.0	0.0	100.0	49.0	76.64890727100546	100.0	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
96RT_TISSUE_T1_1	96RT_TISSUE_T1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31494630.0	0.0	100.0	49.0	84.04961945024927	100.0	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
96RT_TISSUE_T1_2	96RT_TISSUE_T1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31494630.0	0.0	100.0	49.0	81.85989666123429	100.0	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
